OP,A1,A2,A3
+,838,756,381
+,236,133,569
+,627,600,979
+,957,575,337
+,582,125,420
+,272,894,681
+,201,768,433
+,13,937,738
+,427,991,294
+,239,319,360
+,84,591,519
+,532,158,672
+,172,229,867
+,289,358,865
+,485,376,117
+,329,285,587
+,683,826,439
+,318,574,997
+,454,838,636
+,249,691,658
+,846,26,623
+,279,673,849
+,455,273,29
+,901,279,719
+,761,316,943
+,547,359,6
+,180,890,146
+,557,673,410
+,628,145,758
+,423,995,31
+,843,764,543
+,10,385,429
+,199,349,161
+,425,319,738
+,534,795,964
+,31,610,86
+,579,53,159
+,404,772,632
+,277,690,83
+,444,453,677
+,771,497,621
+,372,424,279
+,722,773,524
+,400,353,440
+,78,290,694
+,537,607,498
+,575,683,315
+,548,225,404
+,710,56,7
+,41,308,968
+,885,785,140
+,632,261,296
+,858,122,7
+,139,764,440
+,385,132,389
+,456,720,235
+,932,572,853
+,813,825,362
+,140,406,882
+,624,43,446
+,320,470,943
+,708,882,320
+,457,439,587
+,873,726,655
+,326,296,117
+,126,21,989
+,132,175,820
+,817,632,471
+,397,706,941
+,915,90,447
+,993,108,249
+,415,603,410
+,595,80,405
+,258,317,763
+,313,226,341
+,409,172,78
+,162,648,116
+,304,522,198
+,286,794,357
+,644,744,981
+,635,660,834
+,353,241,105
+,68,262,202
+,678,616,156
+,833,777,671
+,935,181,974
+,679,643,505
+,719,772,577
+,237,593,459
+,265,946,903
+,90,658,650
+,835,330,884
+,862,642,323
+,54,450,69
+,657,452,646
+,943,815,281
+,406,57,360
+,380,75,317
+,124,462,38
+,491,377,851
+,802,78,660
+,900,1000,875
+,430,629,608
+,945,393,473
+,703,567,977
+,294,756,917
+,878,460,930
+,212,585,667
+,918,329,619
+,37,513,154
+,860,63,461
+,898,830,920
+,125,351,731
+,23,516,661
+,839,40,253
+,976,448,449
+,101,535,624
+,115,372,381
+,435,289,396
+,950,793,346
+,120,612,53
+,384,646,662
+,47,67,337
+,171,571,694
+,317,290,258
+,324,872,672
+,880,928,617
+,263,153,341
+,145,596,679
+,43,938,358
+,504,990,671
+,86,678,401
+,376,609,725
+,530,86,317
+,984,385,658
+,851,336,832
+,345,686,719
+,403,969,756
+,226,934,539
+,987,661,686
+,164,520,370
+,335,371,316
+,600,973,219
+,916,970,784
+,472,196,231
+,447,158,79
+,107,864,807
+,856,519,789
+,155,855,756
+,458,539,38
+,280,344,897
+,207,632,134
+,154,385,157
+,587,185,851
?,790,790,790
?,640,640,640
?,829,829,829
?,170,170,170
?,739,739,739
?,449,449,449
?,45,45,45
?,421,421,421
?,374,374,374
?,693,693,693
?,737,737,737
?,244,244,244
?,455,455,455
?,626,626,626
?,292,292,292
?,771,771,771
?,767,767,767
?,803,803,803
?,460,460,460
?,240,240,240
?,547,547,547
?,245,245,245
?,317,317,317
?,829,829,829
?,804,804,804
?,481,481,481
?,199,199,199
?,377,377,377
?,695,695,695
?,585,585,585
?,452,452,452
?,473,473,473
?,788,788,788
?,289,289,289
?,797,797,797
?,392,392,392
?,515,515,515
?,541,541,541
?,429,429,429
?,166,166,166
?,837,837,837
?,205,205,205
?,821,821,821
?,620,620,620
?,142,142,142
?,257,257,257
?,54,54,54
?,657,657,657
?,493,493,493
?,381,381,381
?,568,568,568
?,106,106,106
?,729,729,729
?,529,529,529
?,128,128,128
?,292,292,292
?,86,86,86
?,782,782,782
?,165,165,165
?,280,280,280
?,461,461,461
?,526,526,526
?,151,151,151
?,448,448,448
?,94,94,94
?,228,228,228
?,837,837,837
?,462,462,462
?,358,358,358
?,28,28,28
?,425,425,425
?,55,55,55
?,406,406,406
?,515,515,515
?,383,383,383
?,242,242,242
?,396,396,396
?,84,84,84
?,384,384,384
?,230,230,230
?,29,29,29
?,327,327,327
?,102,102,102
?,732,732,732
?,666,666,666
?,344,344,344
?,811,811,811
?,150,150,150
?,141,141,141
?,40,40,40
?,294,294,294
?,484,484,484
?,713,713,713
?,143,143,143
?,778,778,778
?,723,723,723
?,481,481,481
?,460,460,460
?,631,631,631
?,6,6,6
?,82,82,82
?,20,20,20
?,263,263,263
?,221,221,221
?,154,154,154
?,562,562,562
?,745,745,745
?,624,624,624
?,541,541,541
?,434,434,434
?,114,114,114
?,795,795,795
?,296,296,296
?,244,244,244
?,309,309,309
?,125,125,125
?,49,49,49
?,245,245,245
?,430,430,430
?,655,655,655
?,813,813,813
?,638,638,638
?,469,469,469
?,65,65,65
?,114,114,114
?,512,512,512
?,612,612,612
?,549,549,549
?,17,17,17
?,648,648,648
?,528,528,528
?,589,589,589
?,248,248,248
?,736,736,736
?,148,148,148
?,299,299,299
?,440,440,440
?,2,2,2
?,630,630,630
?,362,362,362
?,247,247,247
?,585,585,585
?,427,427,427
?,192,192,192
?,681,681,681
?,685,685,685
?,88,88,88
?,537,537,537
?,370,370,370
?,70,70,70
?,539,539,539
?,558,558,558
?,520,520,520
?,806,806,806
?,520,520,520
?,568,568,568
?,21,21,21
?,400,400,400
?,482,482,482
?,45,45,45
?,651,651,651
?,397,397,397
?,383,383,383
?,260,260,260
?,766,766,766
?,17,17,17
?,366,366,366
?,808,808,808
?,70,70,70
?,354,354,354
?,247,247,247
?,751,751,751
?,673,673,673
?,644,644,644
?,107,107,107
?,791,791,791
?,596,596,596
?,753,753,753
?,775,775,775
?,341,341,341
?,137,137,137
?,46,46,46
?,361,361,361
?,560,560,560
?,347,347,347
?,834,834,834
?,659,659,659
?,180,180,180
?,798,798,798
?,702,702,702
?,476,476,476
?,713,713,713
?,491,491,491
?,647,647,647
?,187,187,187
?,831,831,831
?,139,139,139
?,65,65,65
?,734,734,734
?,795,795,795
?,469,469,469
?,38,38,38
?,301,301,301
?,207,207,207
?,45,45,45
?,811,811,811
?,205,205,205
?,43,43,43
?,324,324,324
?,318,318,318
?,528,528,528
?,408,408,408
?,835,835,835
?,557,557,557
?,485,485,485
?,260,260,260
?,38,38,38
?,772,772,772
?,663,663,663
?,196,196,196
?,293,293,293
?,366,366,366
?,800,800,800
?,49,49,49
?,672,672,672
?,340,340,340
?,280,280,280
?,128,128,128
?,819,819,819
?,377,377,377
?,448,448,448
?,410,410,410
?,762,762,762
?,451,451,451
?,396,396,396
?,348,348,348
?,192,192,192
?,509,509,509
?,709,709,709
?,510,510,510
?,377,377,377
?,817,817,817
?,532,532,532
?,274,274,274
?,821,821,821
?,85,85,85
?,745,745,745
?,435,435,435
?,81,81,81
?,441,441,441
?,617,617,617
?,185,185,185
?,559,559,559
?,301,301,301
?,329,329,329
?,106,106,106
?,82,82,82
?,336,336,336
?,677,677,677
?,303,303,303
?,314,314,314
?,457,457,457
?,618,618,618
?,735,735,735
?,437,437,437
?,171,171,171
?,707,707,707
?,455,455,455
?,360,360,360
?,458,458,458
?,44,44,44
?,745,745,745
?,362,362,362
?,630,630,630
?,446,446,446
?,282,282,282
?,655,655,655
?,811,811,811
?,59,59,59
?,77,77,77
?,688,688,688
?,653,653,653
?,416,416,416
?,373,373,373
?,526,526,526
?,821,821,821
?,768,768,768
?,696,696,696
?,164,164,164
?,32,32,32
?,147,147,147
?,623,623,623
?,695,695,695
?,801,801,801
?,449,449,449
?,36,36,36
?,130,130,130
?,69,69,69
?,242,242,242
?,798,798,798
?,661,661,661
?,376,376,376
?,371,371,371
?,393,393,393
?,581,581,581
?,34,34,34
?,620,620,620
?,158,158,158
?,696,696,696
?,461,461,461
?,380,380,380
?,381,381,381
?,455,455,455
?,782,782,782
?,79,79,79
?,588,588,588
?,141,141,141
?,543,543,543
?,376,376,376
?,408,408,408
?,322,322,322
?,666,666,666
?,286,286,286
?,256,256,256
?,117,117,117
?,27,27,27
?,754,754,754
?,191,191,191
?,512,512,512
?,531,531,531
?,397,397,397
?,576,576,576
?,121,121,121
?,269,269,269
?,794,794,794
?,267,267,267
?,721,721,721
?,457,457,457
?,220,220,220
?,627,627,627
?,293,293,293
?,711,711,711
?,503,503,503
?,205,205,205
?,126,126,126
?,139,139,139
?,76,76,76
?,463,463,463
?,177,177,177
?,731,731,731
?,456,456,456
?,90,90,90
?,830,830,830
?,699,699,699
?,328,328,328
-,547,547,547
-,800,800,800
-,324,324,324
-,174,174,174
-,836,836,836
-,577,577,577
-,439,439,439
-,530,530,530
-,293,293,293
-,289,289,289
-,66,66,66
-,41,41,41
-,34,34,34
-,333,333,333
-,330,330,330
-,149,149,149
-,436,436,436
-,548,548,548
-,290,290,290
-,184,184,184
-,397,397,397
-,926,926,926
-,961,961,961
-,247,247,247
-,4,4,4
-,213,213,213
-,763,763,763
-,809,809,809
-,18,18,18
-,140,140,140
-,914,914,914
-,185,185,185
-,132,132,132
-,910,910,910
-,43,43,43
-,189,189,189
-,579,579,579
-,232,232,232
-,949,949,949
-,506,506,506
-,264,264,264
-,428,428,428
-,1,1,1
-,595,595,595
-,835,835,835
-,192,192,192
-,475,475,475
-,280,280,280
-,770,770,770
-,457,457,457
-,415,415,415
-,145,145,145
-,816,816,816
-,957,957,957
-,769,769,769
-,950,950,950
-,113,113,113
-,10,10,10
-,148,148,148
-,417,417,417
-,839,839,839
-,799,799,799
-,92,92,92
-,916,916,916
-,37,37,37
-,678,678,678
-,532,532,532
-,984,984,984
-,653,653,653
-,694,694,694
-,722,722,722
-,144,144,144
-,693,693,693
-,443,443,443
-,302,302,302
-,16,16,16
-,393,393,393
-,496,496,496
-,265,265,265
-,454,454,454
-,630,630,630
-,945,945,945
-,499,499,499
-,400,400,400
-,750,750,750
-,409,409,409
-,239,239,239
-,918,918,918
-,987,987,987
-,398,398,398
-,507,507,507
-,895,895,895
-,702,702,702
-,56,56,56
-,582,582,582
-,455,455,455
-,277,277,277
-,858,858,858
-,795,795,795
-,575,575,575
-,419,419,419
-,76,76,76
-,472,472,472
-,587,587,587
-,902,902,902
-,917,917,917
-,210,210,210
-,447,447,447
-,840,840,840
-,776,776,776
-,504,504,504
-,494,494,494
-,401,401,401
-,120,120,120
-,173,173,173
-,560,560,560
-,172,172,172
-,934,934,934
-,359,359,359
-,49,49,49
-,823,823,823
-,628,628,628
-,976,976,976
-,150,150,150
-,381,381,381
-,928,928,928
-,744,744,744
-,138,138,138
-,418,418,418
-,742,742,742
-,557,557,557
-,456,456,456
-,350,350,350
-,136,136,136
-,258,258,258
-,424,424,424
-,752,752,752
-,790,790,790
-,279,279,279
-,660,660,660
-,125,125,125
-,624,624,624
-,20,20,20
-,932,932,932
-,713,713,713
-,909,909,909
-,325,325,325
-,115,115,115
-,299,299,299
-,509,509,509
-,147,147,147
-,353,353,353
-,631,631,631
-,797,797,797
-,386,386,386
-,573,573,573
-,17,17,17
-,788,788,788
-,605,605,605
-,262,262,262
-,851,851,851
-,842,842,842
-,229,229,229
-,13,13,13
-,527,527,527
-,404,404,404
-,345,345,345
-,871,871,871
-,813,813,813
-,571,571,571
-,493,493,493
+,757,828,115
+,985,166,748
+,383,663,263
+,801,190,14
+,648,345,809
+,806,581,690
+,536,197,179
+,503,876,654
+,737,415,846
+,559,527,335
+,544,410,685
+,356,189,143
+,206,331,958
+,888,6,267
+,611,241,457
+,711,273,976
+,531,309,596
+,259,586,11
+,153,669,368
+,852,241,63
+,63,121,476
+,434,163,415
+,339,514,945
+,513,909,720
+,748,318,706
+,487,654,938
+,524,302,376
+,893,226,224
+,952,136,489
+,186,465,765
+,673,382,425
+,343,562,934
+,377,775,550
+,903,680,845
+,368,780,253
+,568,772,610
+,275,806,83
+,690,457,540
+,266,370,79
+,782,577,114
+,937,848,560
+,533,517,207
+,22,549,153
+,542,335,874
+,97,452,119
+,295,210,734
+,460,500,93
+,197,522,456
+,707,56,464
+,261,525,425
+,310,577,59
+,979,473,688
+,160,315,740
+,402,405,260
+,539,3,763
+,176,592,74
+,726,433,352
+,793,65,554
+,818,957,915
+,778,956,483
+,756,293,418
+,297,787,138
+,91,656,746
+,929,986,430
+,449,912,391
+,645,890,939
+,14,386,384
+,480,699,987
+,996,895,552
+,868,669,880
+,431,121,182
+,695,402,541
+,502,745,228
+,260,3,774
+,328,305,474
+,179,736,557
+,564,544,388
+,395,235,253
+,495,354,158
+,35,193,959
+,442,742,783
+,927,32,828
+,659,429,629
+,636,958,904
+,98,16,246
+,337,68,103
+,12,34,457
+,684,688,720
+,116,49,250
+,446,45,411
+,407,239,552
+,815,772,884
+,312,57,143
+,358,296,239
+,471,938,749
+,204,326,591
+,227,791,688
+,481,328,242
+,39,897,146
+,391,533,226
+,110,307,281
+,832,570,971
+,812,900,752
+,962,179,641
+,421,437,569
+,340,48,995
+,183,964,658
+,997,390,804
+,422,326,713
+,181,418,152
+,904,385,188
+,861,550,484
+,649,869,230
+,745,878,724
+,700,825,474
+,105,59,575
+,919,991,426
+,651,542,137
+,366,248,261
+,619,338,662
+,905,944,460
+,315,379,94
+,42,741,849
+,130,52,274
+,440,689,619
+,151,40,894
+,588,192,823
+,36,601,741
+,152,572,222
+,676,213,890
+,960,340,310
+,601,930,15
+,437,959,194
+,452,759,120
+,785,772,490
+,268,248,712
+,133,720,209
+,341,937,245
+,803,329,794
+,45,389,477
+,283,664,367
+,652,267,368
+,948,903,509
+,52,100,822
+,821,480,779
+,779,327,936
+,977,379,320
+,599,46,576
+,208,226,759
+,351,16,267
+,215,957,598
+,288,737,427
+,278,156,200
+,953,235,388
+,820,853,251
+,109,563,670
+,118,701,345
+,941,781,841
+,137,989,740
+,106,757,502
+,306,172,750
+,972,360,173
+,8,737,559
+,822,188,938
+,309,555,657
+,556,60,536
+,743,859,867
+,634,967,837
+,291,49,782
+,378,422,140
+,889,645,236
+,629,724,154
+,357,223,517
+,712,382,61
+,620,653,682
+,518,631,934
+,662,675,499
+,550,6,544
+,75,421,12
+,102,542,739
+,576,548,1000
+,857,17,514
+,9,714,690
+,74,825,962
+,951,183,109
+,468,98,536
+,307,246,196
+,134,539,258
+,859,362,273
+,884,406,80
+,244,982,415
+,641,578,249
+,209,231,307
+,267,847,868
+,870,669,878
+,535,777,32
+,578,415,388
+,845,565,487
+,968,652,9
+,83,175,84
+,40,865,444
+,608,803,339
+,592,1000,878
+,853,97,916
+,583,941,43
+,122,216,922
+,413,708,908
+,240,486,277
+,723,946,76
+,609,947,287
+,766,556,577
+,190,33,183
+,82,870,322
+,520,984,212
+,876,147,770
+,805,729,840
+,783,951,78
+,514,166,577
+,488,580,854
+,847,398,693
+,672,553,339
+,58,773,757
+,321,809,705
+,691,80,512
+,555,997,354
+,593,100,447
+,837,858,77
+,222,619,787
+,303,977,609
+,716,992,792
+,158,30,649
+,498,802,461
+,569,233,364
+,897,963,384
+,292,190,696
+,465,676,389
+,988,790,633
+,399,817,252
+,2,75,84
+,886,157,389
+,168,802,649
+,725,757,398
+,869,369,109
+,218,5,965
+,492,455,368
+,715,276,104
+,751,89,191
+,170,459,570
+,242,524,417
+,980,26,91
+,15,567,95
+,553,612,803
+,667,884,394
+,51,298,423
+,989,797,86
+,563,922,572
+,453,248,585
+,77,173,701
+,255,173,142
+,912,308,274
+,717,149,64
+,187,445,282
+,829,306,495
+,143,78,369
+,966,966,252
+,814,640,507
+,705,631,200
+,923,109,138
+,254,6,971
+,111,340,861
+,347,389,823
+,412,337,450
+,62,440,835
+,100,880,666
+,661,608,139
+,669,328,617
+,689,711,205
+,55,321,181
+,478,407,991
+,420,298,752
?,497,497,497
?,668,668,668
?,771,771,771
?,575,575,575
?,805,805,805
?,748,748,748
?,234,234,234
?,410,410,410
?,369,369,369
?,56,56,56
?,946,946,946
?,430,430,430
?,898,898,898
?,597,597,597
?,142,142,142
?,838,838,838
?,1023,1023,1023
?,286,286,286
?,621,621,621
?,496,496,496
?,518,518,518
?,316,316,316
?,867,867,867
?,773,773,773
?,152,152,152
?,920,920,920
?,982,982,982
?,821,821,821
?,1038,1038,1038
?,857,857,857
?,76,76,76
?,737,737,737
?,175,175,175
?,224,224,224
?,509,509,509
?,728,728,728
?,341,341,341
?,91,91,91
?,819,819,819
?,680,680,680
?,882,882,882
?,217,217,217
?,22,22,22
?,202,202,202
?,530,530,530
?,455,455,455
?,1046,1046,1046
?,453,453,453
?,913,913,913
?,767,767,767
?,802,802,802
?,949,949,949
?,1025,1025,1025
?,309,309,309
?,707,707,707
?,51,51,51
?,989,989,989
?,215,215,215
?,606,606,606
?,852,852,852
?,176,176,176
?,238,238,238
?,291,291,291
?,714,714,714
?,639,639,639
?,703,703,703
?,933,933,933
?,424,424,424
?,990,990,990
?,714,714,714
?,976,976,976
?,200,200,200
?,898,898,898
?,927,927,927
?,654,654,654
?,138,138,138
?,615,615,615
?,92,92,92
?,236,236,236
?,47,47,47
?,703,703,703
?,224,224,224
?,337,337,337
?,500,500,500
?,358,358,358
?,328,328,328
?,678,678,678
?,874,874,874
?,947,947,947
?,475,475,475
?,830,830,830
?,378,378,378
?,382,382,382
?,886,886,886
?,811,811,811
?,60,60,60
?,405,405,405
?,921,921,921
?,880,880,880
?,797,797,797
?,10,10,10
?,440,440,440
?,422,422,422
?,571,571,571
?,129,129,129
?,209,209,209
?,383,383,383
?,750,750,750
?,668,668,668
?,404,404,404
?,938,938,938
?,234,234,234
?,538,538,538
?,1003,1003,1003
?,642,642,642
?,796,796,796
?,804,804,804
?,234,234,234
?,713,713,713
?,721,721,721
?,938,938,938
?,354,354,354
?,610,610,610
?,174,174,174
?,275,275,275
?,642,642,642
-,534,534,534
-,365,365,365
-,391,391,391
-,52,52,52
-,431,431,431
-,328,328,328
-,291,291,291
-,384,384,384
-,959,959,959
-,209,209,209
-,358,358,358
-,951,951,951
-,179,179,179
-,298,298,298
-,877,877,877
-,106,106,106
+,755,820,402
+,362,851,753
+,441,325,463
+,674,239,76
+,946,207,139
+,96,788,598
+,194,159,108
+,416,460,477
+,709,416,123
+,248,366,987
+,484,212,462
+,590,474,271
+,584,122,92
+,135,826,702
+,753,846,721
+,219,617,41
+,767,855,877
+,685,151,93
+,285,254,991
+,243,405,525
+,526,693,306
+,728,839,178
+,338,974,414
+,872,463,569
+,69,563,255
+,874,473,104
+,60,812,143
+,646,12,63
+,724,799,227
+,72,202,843
+,7,381,702
+,967,960,660
+,734,596,600
+,235,939,832
+,567,22,66
+,602,924,661
+,21,828,131
+,346,926,867
+,827,828,339
+,230,43,964
+,253,51,172
+,123,587,443
+,462,741,404
+,529,30,391
+,448,436,176
+,831,219,930
+,971,281,286
+,687,904,152
+,844,628,634
+,319,251,662
+,730,510,421
+,205,563,490
+,706,89,286
+,938,140,429
+,784,658,905
+,866,538,255
+,433,821,556
+,621,19,391
+,540,730,367
+,855,557,800
+,169,352,934
+,562,514,329
+,486,276,184
+,675,326,611
+,131,30,917
+,128,797,287
+,545,828,483
+,70,366,785
+,497,238,997
+,749,102,253
+,87,246,272
+,933,835,810
+,865,754,57
+,246,970,224
+,59,866,816
+,245,363,957
+,314,865,177
+,371,242,606
+,808,825,755
+,19,367,935
+,500,28,720
+,331,360,970
+,613,577,145
+,0,971,192
+,543,829,902
+,552,504,555
+,165,179,502
+,798,92,57
+,382,616,224
+,834,539,489
+,973,339,939
+,894,206,825
+,796,348,734
+,999,940,821
+,305,889,331
+,640,22,151
+,108,721,939
+,519,792,113
+,182,538,881
+,780,983,74
+,512,721,964
+,930,405,600
+,736,344,309
+,739,139,999
+,3,749,971
+,908,810,654
+,161,498,664
+,445,178,724
+,931,575,710
+,998,951,628
+,955,365,228
+,656,603,834
+,787,387,314
+,899,705,301
+,768,181,746
+,936,971,718
+,698,586,400
+,117,789,988
+,738,33,186
+,830,325,943
+,11,990,626
+,566,654,579
+,257,959,508
+,541,339,763
+,479,243,355
+,963,171,651
+,390,986,90
+,394,725,686
+,65,746,907
+,610,457,11
+,956,214,255
+,696,69,358
+,811,805,110
+,958,1,49
+,642,448,750
+,156,992,170
+,112,423,504
+,48,387,359
+,773,384,103
+,93,490,807
+,505,591,666
+,521,703,230
+,141,462,75
+,881,866,34
+,925,20,326
+,408,974,107
+,597,350,174
+,438,384,164
+,598,76,560
+,764,919,95
+,269,608,628
+,551,494,721
+,974,441,965
+,762,168,621
+,252,444,160
+,992,103,339
+,271,997,194
+,146,713,567
+,469,947,747
+,658,271,676
+,405,304,243
+,511,50,402
?,1126,1126,1126
?,1006,1006,1006
?,315,315,315
?,112,112,112
?,739,739,739
?,8,8,8
?,876,876,876
?,180,180,180
?,604,604,604
?,1281,1281,1281
?,1230,1230,1230
?,984,984,984
?,409,409,409
?,199,199,199
?,53,53,53
?,424,424,424
?,350,350,350
?,1308,1308,1308
?,598,598,598
-,354,354,354
-,88,88,88
-,305,305,305
-,878,878,878
-,287,287,287
-,588,588,588
-,850,850,850
-,500,500,500
-,537,537,537
-,578,578,578
-,55,55,55
-,434,434,434
-,347,347,347
-,65,65,65
-,254,254,254
-,935,935,935
-,197,197,197
-,427,427,427
-,590,590,590
-,143,143,143
-,566,566,566
-,803,803,803
-,540,540,540
-,711,711,711
-,219,219,219
-,541,541,541
-,451,451,451
-,827,827,827
-,980,980,980
-,169,169,169
-,390,390,390
-,814,814,814
-,789,789,789
-,60,60,60
-,186,186,186
-,962,962,962
-,969,969,969
-,377,377,377
-,321,321,321
-,74,74,74
-,556,556,556
-,420,420,420
-,545,545,545
-,205,205,205
-,211,211,211
-,561,561,561
-,731,731,731
-,312,312,312
-,218,218,218
-,484,484,484
-,634,634,634
-,778,778,778
-,28,28,28
-,294,294,294
-,24,24,24
-,483,483,483
-,893,893,893
-,953,953,953
-,687,687,687
-,703,703,703
-,861,861,861
-,121,121,121
-,597,597,597
+,671,349,363
+,217,648,987
+,322,298,560
+,735,382,718
+,580,46,918
+,216,504,143
+,67,734,760
+,274,419,109
+,410,625,200
+,323,123,952
+,824,402,220
+,982,844,800
+,841,733,346
+,234,775,424
+,57,948,648
+,794,688,602
+,786,790,913
+,863,468,674
+,332,979,516
+,701,986,510
+,224,543,753
+,570,566,957
+,704,858,599
+,655,946,520
+,276,943,932
+,388,708,592
+,473,748,834
+,167,106,396
+,994,614,620
+,746,329,516
+,546,393,428
+,175,937,709
+,907,254,280
+,623,986,351
+,73,301,463
+,663,136,141
+,699,616,716
+,970,766,524
+,273,863,718
+,686,881,321
+,214,754,957
+,363,647,222
+,379,214,639
+,166,297,703
+,373,943,688
+,854,727,665
+,650,981,182
+,464,555,710
+,954,330,727
+,947,779,360
+,103,491,596
+,887,965,683
+,978,427,690
+,875,915,861
+,81,292,898
+,296,432,827
+,791,535,109
+,233,148,54
+,677,57,204
+,46,768,804
+,71,293,699
+,721,859,63
+,196,803,302
+,591,771,554
+,370,367,833
+,882,104,630
+,906,691,757
+,633,885,229
+,643,662,574
+,849,243,523
+,300,815,817
+,565,294,709
+,80,48,948
+,387,396,426
+,127,807,999
+,549,320,989
+,470,55,13
+,747,257,207
+,44,889,799
+,826,891,453
+,270,230,933
+,618,721,726
+,352,376,773
+,867,559,756
+,367,201,794
+,99,987,198
+,389,459,181
+,94,76,191
+,990,177,752
+,344,122,386
+,781,438,285
+,220,270,133
+,159,598,866
+,964,5,338
+,348,959,158
+,983,157,950
+,714,611,52
+,163,954,640
+,825,863,677
+,777,502,808
+,6,563,366
+,890,802,724
+,828,538,225
+,284,188,533
+,603,805,517
+,459,425,556
+,225,413,94
+,429,226,904
+,986,679,339
+,718,369,300
+,665,973,770
+,733,543,486
+,203,843,770
+,574,9,117
+,27,354,456
+,616,926,657
+,517,940,636
+,238,981,40
+,223,906,328
+,95,937,815
+,30,116,395
+,32,553,741
+,432,25,933
+,604,841,788
+,89,822,520
+,558,498,44
+,913,919,667
+,758,328,526
+,692,970,98
+,104,994,979
+,754,7,641
