OP,A1,A2,A3
+,16397,803,103
+,12575,748,551
+,16569,303,579
+,15170,604,654
+,19119,630,623
+,20378,910,777
+,20638,806,673
+,16155,425,98
+,30190,881,229
+,10844,969,512
+,21005,103,403
+,4001,800,527
+,19752,201,711
+,24662,90,29
+,27659,23,509
+,2515,213,485
+,16813,388,60
+,5195,707,170
+,7970,850,791
+,2290,965,97
+,13326,549,628
+,6560,834,493
+,14149,567,925
+,27144,19,569
+,24571,143,395
+,30215,281,587
+,25021,120,134
+,11646,292,407
+,5650,201,606
+,29027,304,801
+,1693,452,406
+,9316,331,657
+,9331,858,147
+,1299,592,851
+,24063,168,397
+,27101,719,303
+,1510,768,415
+,11929,939,835
+,48,612,111
+,30121,142,766
+,31566,599,881
+,22918,602,645
+,4489,307,11
+,29961,404,840
+,27298,268,517
+,16189,680,81
+,4316,112,185
+,30784,423,719
+,7077,392,735
+,5278,580,471
+,14677,635,419
+,25304,688,26
+,15081,698,910
+,6625,229,223
+,23046,225,614
+,27475,33,107
+,7524,398,110
+,5114,358,804
+,4619,584,28
+,14188,410,794
+,24974,252,581
+,1252,278,748
+,22395,34,779
+,22923,83,199
+,27729,237,278
+,30260,278,220
+,10468,939,681
+,8298,853,493
+,19054,819,210
+,3987,702,280
+,11344,813,102
+,10342,46,845
+,17317,558,816
+,180,271,90
+,25373,63,977
+,12863,885,444
+,3424,614,221
+,2340,75,257
+,16186,557,93
+,31035,410,10
+,12233,289,592
+,23758,727,604
+,289,673,85
+,14914,25,48
+,474,319,671
+,18083,944,165
+,1033,933,39
+,9677,542,575
+,6785,902,427
+,19279,427,948
+,29342,413,937
+,21523,33,765
+,18938,74,897
+,24477,616,40
+,30680,298,147
+,6199,977,865
+,19762,205,264
+,7159,916,760
+,19777,337,309
+,31127,267,909
+,24198,61,214
+,27249,202,76
+,19422,62,712
+,19420,579,687
+,3520,497,857
+,13301,950,605
+,2733,210,942
+,10324,391,60
+,21803,331,806
+,22641,101,875
+,24534,904,88
+,30249,507,118
+,21872,897,138
+,1534,722,100
+,18482,698,316
+,22869,867,836
+,11084,138,310
+,20428,475,685
+,16759,4,165
+,20609,955,533
+,27457,822,670
+,20297,296,94
+,8945,135,860
+,29278,470,871
+,30375,306,324
+,24377,930,496
+,10159,713,76
+,27871,951,622
+,16975,993,446
+,7341,869,522
+,20199,502,389
+,1885,880,438
+,13343,619,73
+,984,567,807
+,3067,81,38
+,25085,652,511
+,3476,629,993
+,26376,673,388
+,27478,801,591
+,6395,173,255
+,3453,155,121
+,26968,290,898
+,23372,77,727
+,29690,84,942
+,7976,223,339
+,31621,420,611
+,23183,443,988
+,18669,189,397
+,29772,416,561
+,19831,833,352
+,31826,171,330
+,17850,775,671
+,11569,757,319
+,13872,76,2
+,7016,648,372
+,15706,498,737
+,21296,66,956
+,13988,477,597
+,26493,611,721
+,23024,282,533
+,6939,936,931
+,13935,436,399
+,13061,289,518
+,28711,972,612
+,25529,59,31
+,24736,108,605
+,26031,717,748
+,12438,443,462
+,1613,961,679
+,26085,411,213
+,3099,372,796
+,31226,303,907
+,14198,872,188
+,632,653,741
+,25389,466,159
+,22657,413,136
+,5453,669,370
+,6680,375,26
+,2880,391,894
+,28545,487,23
+,12054,43,84
+,16421,879,669
+,22603,281,113
+,9770,227,5
+,27433,387,521
+,27507,978,984
+,590,881,184
+,1184,41,806
+,19442,524,455
+,21404,827,105
+,27666,5,3
+,11562,653,832
+,25388,418,554
+,27182,60,688
+,24163,995,823
+,23604,102,497
+,12571,549,144
+,29580,483,417
+,27447,196,513
+,16630,113,124
+,29469,891,811
+,20092,165,143
+,24961,146,565
+,19175,185,179
+,4146,158,290
+,11553,548,284
+,24405,334,887
+,22556,538,197
+,20684,620,605
+,13928,304,32
+,16802,279,94
+,30735,743,769
+,24253,274,463
+,10011,821,118
+,25873,381,911
+,21502,104,721
+,30762,958,252
+,31705,683,30
+,23639,873,968
+,3899,321,198
+,27846,990,798
+,4253,453,949
+,6074,168,784
+,12853,543,606
+,1650,945,845
+,25011,810,951
+,22941,296,120
+,19894,717,958
+,2699,368,979
+,872,569,41
+,6975,777,475
+,24459,246,29
+,30857,948,553
+,29728,871,74
+,23362,916,307
+,5128,636,294
+,3195,887,729
+,26003,337,248
+,29875,79,627
+,11039,892,777
+,19281,805,780
+,9646,779,928
+,11700,952,671
+,29089,294,480
+,19134,419,819
+,6202,294,750
+,26543,643,131
+,5938,37,179
+,25986,656,522
+,504,568,948
+,10560,228,23
+,7635,227,774
+,23855,509,934
+,28860,657,727
+,16427,25,689
+,5988,475,571
+,10232,791,118
+,26369,149,99
+,6120,843,676
+,19510,742,926
+,31435,455,256
+,2913,939,925
+,19485,841,737
+,1294,610,589
+,13026,326,833
+,22889,565,330
+,29695,352,936
+,15273,803,381
+,20176,585,313
+,19647,786,21
+,22485,777,284
+,16376,589,916
+,29101,0,854
+,14950,617,987
+,9203,580,652
+,29680,706,305
+,15618,915,156
+,3018,622,820
+,1379,439,15
+,17888,68,745
+,9290,397,339
+,4653,470,246
+,29716,463,774
+,9512,380,454
+,4685,44,84
+,20218,325,147
+,6455,424,95
+,3214,228,428
+,21964,573,70
+,14818,601,920
+,13270,59,143
+,11758,225,650
+,22261,524,287
+,29929,490,740
+,26351,630,628
+,18568,655,627
+,27961,407,302
+,9429,308,470
+,23049,857,510
+,14309,931,184
+,29371,821,897
+,25032,9,544
+,11545,691,188
+,28527,761,144
+,2313,256,178
+,8399,308,524
+,10991,785,32
+,2024,81,465
+,14000,129,315
+,17615,737,338
+,12932,252,964
+,12940,407,614
+,28609,335,547
+,5425,322,469
+,1250,866,979
+,24180,950,29
+,20827,178,854
+,29504,576,828
+,24749,15,166
+,22352,168,377
+,17156,62,244
+,14780,218,226
+,22999,147,635
+,31450,346,691
+,1660,298,367
+,25293,953,227
+,13363,84,329
+,12572,550,943
+,16898,142,537
+,5996,231,47
+,6706,20,933
+,6586,143,619
+,18241,401,188
+,16262,902,706
+,21088,614,92
+,15988,161,101
+,2191,302,974
+,1362,614,142
+,19712,134,27
+,16789,89,417
+,17791,554,949
+,2413,181,926
+,9468,367,700
+,14768,604,180
+,20436,415,391
+,25070,214,486
+,4359,854,5
+,11839,226,129
+,27626,363,769
+,17343,994,220
+,16145,859,236
+,31371,160,512
+,8717,309,544
+,28289,960,841
+,6809,7,189
+,13948,46,428
+,12610,687,599
+,20714,108,590
+,23142,658,249
+,18073,382,633
+,25768,501,618
+,3702,86,618
+,23022,2,59
+,19820,22,188
+,8756,595,663
+,22106,440,101
+,13636,149,188
+,5173,348,385
+,16077,735,693
+,15748,716,504
+,7057,526,757
+,7056,362,993
+,15330,316,2
+,18776,460,593
+,17724,831,920
+,30158,232,0
+,15771,812,798
+,25765,744,823
+,3830,222,139
+,26465,239,84
+,25368,394,666
+,2904,479,476
+,18408,800,547
+,19195,77,291
+,990,385,296
+,31483,751,294
+,27576,250,454
+,30410,801,757
+,4405,629,302
+,7527,775,361
+,13765,693,629
+,21386,934,106
+,14242,82,686
+,29648,997,510
+,29834,992,430
+,6383,438,348
+,12950,352,181
+,12518,482,663
+,24161,777,428
+,25578,128,27
+,24972,589,163
+,27456,88,841
+,6203,663,328
+,17533,560,56
+,22400,678,75
+,20733,738,639
+,26272,159,135
+,9216,70,691
+,29308,400,489
+,31912,560,696
+,16072,452,24
+,13378,644,845
+,7105,647,437
+,21035,343,251
+,21562,154,203
+,1679,497,126
+,20825,364,599
+,7789,73,889
+,15451,387,838
+,23921,529,737
+,8256,662,524
+,17121,424,225
+,2801,509,85
+,11068,292,866
+,9699,620,319
+,30529,22,41
+,28296,961,764
+,21855,464,850
+,16806,791,930
+,2276,583,770
+,25457,578,929
+,17936,152,894
+,12714,719,714
+,9466,212,146
+,17596,447,352
+,29611,674,641
+,25428,871,389
+,19627,627,213
+,2662,994,490
+,1173,987,548
+,6462,264,105
+,6804,674,567
+,17705,820,699
+,5264,422,350
+,2944,73,903
+,26584,917,215
+,20138,536,142
+,241,96,100
+,6894,281,683
+,14177,31,834
+,25533,823,361
+,12724,717,438
+,2649,299,188
+,18064,455,886
+,24908,897,225
+,15129,908,377
+,3574,824,147
+,12621,187,286
+,5831,965,353
+,26958,985,827
+,6421,254,500
+,27149,854,374
+,18889,401,321
+,14159,769,395
+,28991,480,1000
+,20246,266,541
+,94,523,300
+,9653,436,163
+,14306,285,833
+,16931,591,294
+,10896,376,850
+,10673,22,314
+,3948,640,141
+,3410,5,981
+,1027,592,132
+,13392,581,428
+,5577,392,546
+,3093,341,879
+,22078,146,838
+,19356,55,887
+,27914,784,129
+,1283,458,896
+,11287,728,504
+,9774,611,967
+,20875,757,327
+,2766,22,628
+,3402,598,796
+,27841,263,701
+,31492,275,887
+,16514,74,134
+,2039,112,308
+,7587,889,801
+,18350,380,922
+,3158,190,150
+,1446,200,299
+,23868,505,472
+,7013,877,706
+,20435,875,716
+,30969,747,715
+,7131,293,932
+,11887,995,504
+,3796,580,474
+,15164,898,140
+,16234,119,884
+,15253,298,714
+,3974,53,469
+,18131,208,235
+,28681,625,542
+,19724,95,299
+,26881,568,696
+,9051,969,966
+,13215,147,792
+,2352,197,455
+,12678,748,901
+,23096,710,57
+,18504,581,715
+,8472,276,324
+,22374,734,944
+,6664,499,409
+,12332,747,455
+,24276,404,201
+,4925,645,224
+,6810,143,869
+,21471,802,827
+,7025,436,205
+,21473,115,68
+,28328,904,812
+,8701,155,27
+,2134,971,861
+,29849,912,909
+,20103,692,530
+,15221,515,940
+,25610,129,397
+,10631,259,791
+,31251,890,556
+,22096,209,770
+,9337,433,869
+,19048,691,590
+,5936,23,969
+,21187,521,170
+,10922,1000,707
+,7864,619,415
+,19615,741,757
+,2356,87,714
+,6134,390,8
+,13079,343,655
+,20090,259,621
+,20370,292,912
+,11551,897,937
+,21426,136,24
+,631,379,939
+,4750,286,581
+,8095,853,53
+,30846,887,192
+,19184,267,636
+,26218,781,887
+,10963,929,577
+,23454,220,383
+,21118,844,668
+,598,911,895
+,19080,79,110
+,19,339,298
+,1603,112,486
+,27988,805,921
+,8234,732,707
+,16024,725,657
+,17740,553,898
+,4383,221,974
+,17657,751,521
+,18917,654,775
+,2132,752,36
+,11075,261,653
+,20377,62,288
+,10234,278,247
+,17437,356,415
+,5259,915,521
+,4150,77,703
+,927,853,338
+,11634,534,649
+,17278,105,281
+,23143,661,222
+,6442,317,469
+,11024,360,517
+,15737,201,43
+,10582,654,12
+,29733,944,412
+,29295,953,325
+,2972,288,458
+,21758,498,860
+,9767,461,562
+,19441,36,93
+,13028,949,622
+,23228,158,909
+,4827,809,933
+,19346,105,414
+,28853,620,539
+,498,572,661
+,18692,209,495
+,496,105,446
+,19972,109,374
+,21868,950,398
+,29364,818,529
+,28241,115,87
+,5555,584,481
+,5785,851,394
+,11404,364,593
+,7766,729,533
+,29568,679,203
+,26240,423,67
+,5649,890,42
+,30002,328,885
+,7671,340,992
+,14500,212,383
+,6970,261,365
+,11882,552,68
+,13188,356,432
+,29507,450,722
+,31173,558,378
+,19975,373,974
+,18382,253,592
+,30860,607,788
+,28876,521,167
+,17299,163,397
+,5711,675,145
+,28728,479,927
+,10774,717,493
+,26286,572,44
+,27274,697,338
+,12828,833,274
+,16724,435,438
+,30978,496,619
+,6389,213,4
+,28137,895,795
+,15613,6,155
+,15981,527,349
+,13142,161,922
+,23238,473,183
+,29799,772,393
+,6566,606,573
+,5090,662,227
+,935,324,71
+,2434,379,830
+,15955,727,62
+,28118,327,128
+,3408,530,379
+,19064,307,436
+,16055,991,244
+,8090,823,557
+,14241,837,195
+,9245,937,7
+,2541,938,577
+,8275,483,128
+,17548,739,862
+,27063,654,467
+,9001,848,229
+,4463,885,732
+,15379,170,972
+,24650,812,486
+,26077,466,941
+,11132,972,773
+,24927,123,899
+,4897,513,299
+,31076,326,131
+,26546,750,492
+,26795,516,943
+,2696,203,1
+,1408,617,62
+,20046,453,929
+,6085,149,74
+,27550,847,144
+,24399,878,285
+,7383,198,302
+,3074,297,500
+,813,909,694
+,15102,53,357
+,28788,674,495
+,4626,841,708
+,13064,457,480
+,29485,775,633
+,4603,950,802
+,21652,924,437
+,20000,123,694
+,11463,596,646
+,2894,110,385
+,2599,726,624
+,7183,358,790
+,536,412,788
+,28897,416,303
+,31453,621,624
+,31164,697,386
+,26498,875,240
+,21004,294,797
+,12367,16,17
+,20663,730,375
+,14168,165,958
+,8923,859,288
+,4474,141,690
+,17215,698,729
+,14360,200,799
+,3839,639,205
+,11330,711,186
+,9455,857,90
+,11607,77,778
+,17161,249,638
+,16641,13,469
+,20686,370,709
+,29345,489,687
+,5346,431,51
+,17271,116,342
+,4398,807,655
+,11210,117,84
+,9620,967,336
+,1124,763,718
+,23861,44,70
+,4314,725,848
+,8180,155,429
+,21551,31,516
+,330,137,410
+,18336,573,585
+,4184,213,685
+,18644,864,479
+,2406,344,612
+,21488,884,569
+,29318,874,208
+,18373,326,295
+,27517,512,730
+,22165,366,503
+,3995,91,614
+,5878,110,290
+,20244,412,483
+,2764,93,837
+,12892,393,248
+,6285,917,727
+,6910,946,423
+,11555,396,873
+,26805,695,851
+,31112,831,159
+,18006,897,212
+,31757,965,972
+,23685,709,142
+,8788,673,417
+,1918,373,149
+,3679,530,145
+,15900,402,551
+,3652,270,878
+,3927,606,923
+,20884,737,510
+,8417,131,297
+,2385,40,830
+,24127,705,901
+,19156,691,673
+,8375,21,559
+,23795,680,50
+,24008,311,682
+,3228,386,808
+,9243,327,88
+,17691,24,572
+,19699,346,286
+,22167,843,146
+,20523,898,117
+,29597,977,667
+,12200,747,58
+,27511,660,712
+,12081,202,240
+,12435,920,430
+,13772,671,931
+,1806,390,612
+,9927,780,852
+,18143,205,831
+,21076,91,928
+,22103,58,739
+,23109,603,53
+,15421,840,609
+,28298,240,67
+,15412,454,533
+,13036,744,3
+,31269,963,317
+,4484,843,544
+,26563,45,177
+,10317,659,971
+,23416,343,715
+,2902,285,66
+,9246,556,901
+,10131,614,774
+,27467,639,699
+,17965,636,757
+,28935,50,945
+,980,723,225
+,13990,454,427
+,17398,90,248
+,19796,427,403
+,13469,546,938
+,1355,25,524
+,10591,830,84
+,31217,140,690
+,3422,439,532
+,9741,357,873
+,10970,779,585
+,15596,798,469
+,18880,714,262
+,7301,468,867
+,8365,892,355
+,31520,735,225
+,29039,848,883
+,20230,37,357
+,8104,561,969
+,27326,690,798
+,29054,250,8
+,7249,627,443
+,26297,952,207
+,14648,458,633
+,27647,297,142
+,29191,571,598
+,4094,764,315
+,20439,683,432
+,1704,238,485
+,11917,751,884
+,14806,663,29
+,1621,745,106
+,20807,831,497
+,16969,490,706
+,3945,100,521
+,28276,490,407
+,29894,919,128
+,23088,543,555
+,15302,981,221
+,19372,949,241
+,22340,557,538
+,3037,680,682
+,6129,25,89
+,29563,670,406
+,715,794,801
+,8608,165,470
+,2829,411,176
+,16335,162,188
+,4700,442,445
+,14532,527,850
+,27959,527,11
+,12790,716,704
+,23966,458,659
+,28909,87,972
+,17542,836,332
+,15496,191,563
+,24707,656,616
+,13690,913,731
+,23568,990,623
+,24713,474,298
+,17095,597,247
+,9548,325,579
+,12019,108,138
+,19383,349,637
+,30585,491,476
+,19826,444,330
+,1955,617,856
+,29337,389,303
+,4013,562,858
+,15402,934,570
+,24376,982,759
+,23565,25,324
+,9385,946,74
+,10648,727,963
+,28117,297,127
+,29520,451,111
+,18400,969,799
+,1977,337,494
+,7352,596,192
+,15380,71,976
+,28237,142,604
+,8503,971,883
+,10435,888,405
+,17166,820,95
+,6022,545,451
+,12660,663,116
+,28098,1000,315
+,6538,438,40
+,12906,893,667
+,10302,792,44
+,19248,735,617
+,10084,268,276
+,1617,720,653
+,6831,535,970
+,5764,574,855
+,14145,503,357
+,10836,474,50
+,4218,238,657
+,14584,792,144
+,20226,200,18
+,21317,104,748
+,6369,153,348
+,23458,13,65
+,19594,519,400
+,26860,640,36
+,27960,281,175
+,15638,772,992
+,7928,411,677
+,5677,615,352
+,27797,185,165
+,28893,871,193
+,568,619,215
+,21802,121,649
+,29170,16,393
+,3969,907,42
+,18641,801,975
+,7437,654,200
+,10380,962,139
+,10984,267,804
+,23531,926,394
+,16183,727,433
+,30874,265,718
+,17591,587,462
+,24825,244,480
+,826,811,752
+,730,295,25
+,29459,828,334
+,18201,905,800
+,20141,94,826
+,13853,780,283
+,21483,400,968
+,30895,984,611
+,9925,922,417
+,17410,795,930
+,19194,261,50
+,15709,389,555
+,1440,504,807
+,3332,370,661
+,30966,259,962
+,29048,224,260
+,27088,741,67
+,26352,389,671
+,17883,917,562
+,9568,549,678
+,18773,428,362
+,4809,894,526
+,20985,682,765
+,11931,274,518
+,2664,805,303
+,8707,759,876
+,19683,677,962
+,24392,361,670
+,20879,967,439
+,8073,163,875
+,24067,852,506
+,15480,444,401
+,17913,306,530
+,10562,246,157
+,17007,881,678
+,20847,471,484
+,1516,537,482
+,3792,946,520
+,15474,623,297
+,31316,162,791
+,17885,666,418
+,14285,823,624
+,24123,223,672
+,14797,664,257
+,10092,249,892
+,57,746,440
+,3860,707,345
+,4082,548,32
+,7438,24,781
+,23403,809,312
+,30007,818,61
+,4543,738,32
+,21925,179,544
+,26149,410,474
+,3933,750,842
+,7604,52,468
+,3762,287,176
+,31711,776,617
+,15226,200,580
+,14933,713,478
+,7631,232,936
+,18579,501,928
+,7316,864,995
+,8437,322,276
+,21832,807,944
+,3835,682,643
+,4264,702,4
+,29823,575,947
+,21188,64,431
+,8202,343,572
+,5976,112,362
+,1337,692,135
+,4053,713,651
+,14448,307,351
+,13407,673,189
+,17390,575,96
+,16382,214,351
+,20247,905,66
+,7451,930,475
+,796,271,790
+,26307,703,688
+,31946,238,844
+,4796,768,503
+,29456,879,852
+,29321,338,192
+,14517,816,738
+,22192,927,102
+,6368,145,244
+,27067,361,589
+,3939,281,889
+,4964,410,366
+,1901,906,471
+,28796,270,152
+,30764,444,860
+,8140,389,927
+,20751,825,683
+,3497,113,708
+,30241,536,372
+,27503,228,541
+,28223,567,732
+,24709,358,356
+,11442,350,977
+,1779,265,647
+,24066,441,1000
+,11604,817,618
+,20866,930,640
+,3000,598,237
+,18323,96,80
+,24079,681,923
+,19268,311,352
+,22865,366,320
+,9611,700,225
+,25513,464,715
+,31960,945,783
+,1095,138,485
+,28753,556,865
+,7302,425,466
+,29576,253,452
+,26176,394,97
+,6753,143,866
+,26298,683,325
+,15882,487,383
+,27413,433,736
+,770,780,890
+,22727,170,779
+,15668,263,904
+,5490,177,771
+,16100,29,526
+,27297,538,121
+,4684,999,802
+,29224,452,401
+,17549,14,603
+,15276,955,60
+,16553,584,239
+,7334,617,852
+,3685,246,20
+,13048,864,240
+,28119,633,612
+,1360,972,75
+,6438,762,505
+,18338,60,318
+,19614,33,729
+,5957,738,630
+,19488,604,552
+,22065,939,840
+,22799,936,693
+,885,740,428
+,2506,233,692
+,28016,102,970
+,11778,975,778
+,16824,287,800
+,11076,847,794
+,15277,941,569
+,19740,980,39
+,22231,514,352
+,31197,958,92
+,4520,298,665
+,6758,58,148
+,22824,622,835
+,29127,410,304
+,17287,47,879
+,9291,148,566
+,27111,804,739
+,12540,109,252
+,24081,135,482
+,30151,785,379
+,20857,387,477
+,11446,620,624
+,11928,112,735
+,30067,299,604
+,29369,766,292
+,9575,264,198
+,10054,87,533
+,8963,724,207
+,8127,306,254
+,29454,904,629
+,13914,230,937
+,13898,86,907
+,15563,702,668
+,26322,160,680
+,26066,495,495
+,6433,694,657
+,8449,328,16
+,31133,150,699
+,14249,117,971
+,814,958,478
+,31334,129,399
+,26557,801,982
+,27732,828,65
+,29831,462,218
+,15530,165,521
+,29317,862,437
+,7202,701,629
+,12411,761,54
+,27472,515,500
+,20087,839,633
+,20995,160,100
+,6928,563,252
+,14951,580,921
+,7122,805,329
+,29323,223,695
+,16863,445,796
+,27858,116,791
+,29884,367,140
+,30142,526,698
+,22902,499,1
+,905,658,299
+,25619,870,609
+,15281,633,860
+,15631,82,382
+,29763,201,57
+,17763,280,325
+,30181,10,828
+,618,6,134
+,9254,661,386
+,10387,826,533
+,12094,573,506
+,764,627,35
+,9488,218,762
+,19988,317,653
+,901,901,56
+,16701,608,323
+,21750,409,463
+,25809,406,48
+,8706,664,797
+,12798,278,8
+,10394,799,736
+,1017,210,279
+,4592,701,706
+,22720,695,356
+,14662,640,70
+,9877,728,740
+,24640,245,807
+,3856,554,517
+,30336,45,77
+,29482,249,850
+,10416,680,135
+,16107,176,73
+,24618,892,768
+,13104,102,249
+,10837,287,384
+,19303,102,558
+,4197,163,152
+,20324,100,240
+,11175,673,560
+,3086,370,815
+,12826,177,32
+,29359,563,757
+,16742,701,748
+,24207,902,770
+,10691,396,535
+,18785,741,798
+,15564,420,227
+,21269,861,9
+,4267,550,578
+,9600,683,696
+,4865,664,960
+,4219,490,251
+,3136,389,614
+,19613,477,767
+,5116,606,723
+,480,663,497
+,29145,493,188
+,19970,43,23
+,22661,132,82
+,6818,715,734
+,107,799,51
+,15448,485,935
+,28063,467,116
+,31624,247,275
+,9265,373,892
+,17988,28,813
+,24937,687,545
+,24261,621,328
+,17536,184,221
+,7102,6,541
+,4834,82,783
+,19325,903,799
+,676,771,82
+,31046,271,817
+,14934,311,370
+,14522,957,372
+,11325,620,483
+,5748,631,404
+,20257,346,398
+,13374,117,614
+,30548,464,438
+,24272,80,241
+,1985,456,751
+,21343,830,119
+,20112,773,691
+,9702,512,425
+,11911,144,866
+,3043,246,598
+,254,410,109
+,9356,759,411
+,23042,849,390
+,2828,794,451
+,17282,224,962
+,21869,381,372
+,23726,212,469
+,19127,200,557
+,3342,872,537
+,4755,765,293
+,30769,47,169
+,26649,143,222
+,9036,671,949
+,6302,779,978
+,25345,683,389
+,30688,70,309
+,23322,806,400
+,26732,390,180
+,26397,434,209
+,24706,223,0
+,17854,974,696
+,28171,73,824
+,20298,426,797
+,17232,700,305
+,30588,641,687
+,5951,383,190
+,9389,523,232
+,31355,615,406
+,1926,754,431
+,13780,908,945
+,31101,268,490
+,3502,861,256
+,24609,320,386
+,30384,1000,578
+,9295,607,522
+,8463,494,949
+,20796,221,386
+,20224,572,798
+,7153,236,3
+,25254,284,554
+,25132,498,699
+,10243,942,656
+,2054,411,746
+,5124,706,863
+,4733,783,352
+,2741,998,185
+,24854,974,148
+,14129,977,723
+,15465,608,116
+,747,659,171
+,20970,957,59
+,7262,337,612
+,25558,286,65
+,3894,929,270
+,11042,386,760
+,28253,702,148
+,6003,96,83
+,24786,462,174
+,15125,525,160
+,4156,491,127
+,9007,197,20
+,2721,549,116
+,247,713,597
+,14675,968,410
+,21678,54,868
+,31993,491,342
+,12010,458,538
+,7326,746,809
+,29184,744,533
+,8661,258,852
+,24676,488,915
+,3727,595,629
+,12152,639,614
+,17424,323,165
+,8610,889,138
+,28286,502,127
+,29512,285,559
+,21837,419,809
+,20877,427,364
+,7311,755,97
+,22679,634,547
+,19196,104,963
+,19669,991,9
+,21608,78,504
+,3015,647,820
+,18097,874,980
+,21290,723,320
+,26525,882,249
+,13262,417,204
+,27289,96,172
+,18215,472,978
+,28254,852,360
+,6099,837,182
+,1726,887,771
+,11997,105,428
+,11316,312,623
+,19542,223,499
+,23755,574,519
+,33,90,587
+,6726,913,216
+,26050,873,706
+,6405,604,663
+,30240,908,599
+,282,401,543
+,25159,170,714
+,1852,116,781
+,3296,658,843
+,28624,511,78
+,8492,505,356
+,7808,814,699
+,2924,175,117
+,669,227,821
+,21858,199,431
+,8155,123,821
+,7488,247,78
+,24143,628,881
+,6070,337,274
+,15275,37,772
+,27907,46,317
+,22943,616,854
+,29759,248,487
+,12444,167,615
+,18860,767,302
+,2638,528,795
+,4957,515,230
+,1264,711,431
+,5049,990,840
+,30006,240,696
+,11530,939,600
+,130,776,850
+,17246,156,493
+,18206,285,750
+,23764,618,647
+,18425,148,932
+,11127,795,984
+,7511,350,108
+,8342,828,278
+,14274,853,614
+,9302,757,188
+,8915,571,901
+,2495,68,644
+,4751,863,924
+,10979,851,260
+,20352,505,888
+,9397,919,183
+,25834,957,108
+,12954,720,186
+,974,192,415
+,30283,38,124
+,13365,555,404
+,6857,585,612
+,23691,366,264
+,2669,844,212
+,4906,791,568
+,19657,325,239
+,28607,321,398
+,13341,794,53
+,28828,248,8
+,7735,790,820
+,13305,612,409
+,5131,677,754
+,22520,793,980
+,13050,47,666
+,28899,438,712
+,31944,313,371
+,24768,807,593
+,19755,475,138
+,11735,284,936
+,5193,32,575
+,15519,625,619
+,25526,180,719
+,333,471,495
+,14459,795,913
+,30669,336,666
+,1148,778,947
+,5930,428,410
+,5232,65,68
+,18442,211,220
+,16593,636,481
+,28353,956,439
+,11250,29,489
+,28493,139,123
+,31339,672,231
+,12266,300,998
+,13278,723,941
+,23472,312,135
+,21594,175,661
+,3946,752,871
+,19027,276,96
+,2793,631,537
+,577,810,859
+,31548,235,830
+,17938,62,421
+,17736,934,251
+,6237,751,240
+,9333,320,315
+,9061,14,96
+,4928,557,102
+,6067,809,317
+,8168,274,172
+,11773,779,995
+,10738,893,873
+,14758,159,685
+,12982,31,161
+,5742,286,250
+,23360,856,772
+,13912,7,714
+,15127,315,449
+,1673,359,718
+,8925,960,93
+,6173,684,753
+,26982,436,673
+,27159,344,426
+,31423,8,627
+,2238,589,291
+,11336,316,506
+,23943,197,635
+,2557,634,723
+,14497,918,197
+,13837,39,327
+,3348,850,651
