OP,A1,A2,A3
+,2295,61,534
+,3513,373,473
+,5118,246,154
+,654,701,783
+,5625,864,445
+,6106,326,880
+,2272,933,65
+,7977,208,866
+,367,273,843
+,6934,661,164
+,3827,703,615
+,901,415,244
+,3705,153,196
+,5233,251,816
+,5025,317,475
+,2807,573,446
+,6526,662,927
+,859,206,163
+,4347,139,29
+,6557,808,822
+,449,674,563
+,4013,659,872
+,3402,986,739
+,663,801,20
+,228,880,918
+,6783,321,616
+,6034,887,65
+,3985,978,416
+,5801,372,687
+,272,906,92
+,4707,965,859
+,7793,862,143
+,2297,114,584
+,5676,512,955
+,6303,534,680
+,1343,594,972
+,6197,953,537
+,4267,508,905
+,2349,243,614
+,2111,791,826
+,3356,337,852
+,5522,754,399
+,2150,766,761
+,1382,957,433
+,4860,147,109
+,4126,219,993
+,4070,450,418
+,1152,883,603
+,1053,502,546
+,4176,716,971
+,4171,324,558
+,5077,486,699
+,1947,986,284
+,6192,803,959
+,4059,371,486
+,2214,376,841
+,241,21,660
+,350,926,620
+,3584,861,757
+,6754,818,963
+,855,707,939
+,3355,687,245
+,2204,565,393
+,957,654,981
+,7337,371,924
+,7106,701,124
+,2468,887,242
+,7981,453,397
+,7848,931,983
+,2161,949,939
+,7206,308,92
+,7335,842,774
+,4641,304,215
+,6421,911,164
+,333,449,646
+,109,900,831
+,1052,659,416
+,2380,34,280
+,2484,82,842
+,7136,963,503
+,3422,754,422
+,2932,861,340
+,2933,432,897
+,3919,839,102
+,7095,164,715
+,7036,518,67
+,6490,430,616
+,4394,832,560
+,6953,334,464
+,2374,28,780
+,6168,656,656
+,6580,645,454
+,332,656,139
+,4178,410,204
+,3510,312,321
+,2151,84,113
+,3257,255,528
+,6581,992,786
+,4147,664,781
+,4087,867,608
+,3476,420,811
+,5276,327,462
+,5942,894,752
+,4454,266,177
+,1649,607,846
+,99,818,288
+,2785,86,424
+,6138,186,402
+,6926,386,967
+,3478,905,584
+,1040,21,970
+,6999,945,571
+,1843,626,641
+,6322,928,91
+,4372,473,203
+,6309,718,872
+,4528,50,410
+,7842,439,614
+,7259,152,91
+,7516,376,174
+,6266,580,120
+,6865,735,538
+,1013,791,942
+,4237,464,847
+,3234,506,121
+,1482,730,208
+,832,968,882
+,2543,800,272
+,5859,764,506
+,51,133,441
+,3094,211,614
+,4190,843,289
+,5658,693,193
+,4471,184,418
+,2802,149,29
+,7628,999,268
+,891,632,461
+,2977,254,378
+,290,700,662
+,7877,87,10
+,7605,136,892
+,1775,997,709
+,2012,703,217
+,6209,392,725
+,7613,753,611
+,6486,74,97
+,7127,60,53
+,7138,953,240
+,1350,930,362
+,3534,961,686
+,117,821,612
+,280,766,829
+,3457,5,259
+,3791,634,390
+,6101,1000,404
+,2079,379,135
+,2275,913,572
+,4186,594,183
+,3347,173,515
+,1756,952,347
+,293,479,135
+,3856,324,727
+,2928,443,145
+,1487,119,320
+,6635,130,511
+,6313,996,854
+,2926,765,369
+,6242,440,289
+,6838,897,269
+,6983,849,779
+,7241,270,529
+,1807,446,914
+,7306,323,754
+,3275,782,972
+,2737,569,873
+,2363,673,651
+,1642,450,54
+,1724,152,55
+,6875,187,36
+,5275,266,167
+,5095,478,446
+,3483,916,949
+,470,41,452
+,4585,726,574
+,6107,468,504
+,2551,866,737
+,7712,151,126
+,4220,95,208
+,6171,290,184
+,5736,172,767
+,1484,842,279
+,3062,912,679
+,6161,217,597
+,1175,4,538
+,194,584,184
+,157,942,78
+,1002,786,510
+,2747,96,908
+,1743,26,291
+,7460,696,124
+,3957,382,604
+,7806,974,108
+,5785,331,157
+,2395,83,471
+,1966,724,675
+,1914,464,643
+,3883,275,608
+,2955,5,337
+,824,44,671
+,3117,973,463
+,5784,970,749
+,6943,928,980
+,5760,582,132
+,4939,883,49
+,7675,659,289
+,88,817,56
+,2315,72,560
+,278,616,390
+,5327,408,261
+,1538,245,988
+,758,886,408
+,7321,21,872
+,1116,166,397
+,191,412,291
+,4919,770,977
+,620,157,123
+,2796,502,820
+,1456,753,825
+,6824,317,925
+,2439,617,134
+,1406,681,98
+,7109,376,524
+,31,501,456
+,287,397,487
+,152,576,614
+,3604,92,774
+,6781,830,377
+,4193,190,444
+,5652,436,95
+,7763,525,349
+,1376,474,692
+,1921,663,702
+,2205,158,953
+,7836,539,644
+,5091,537,85
+,2124,479,447
+,578,928,820
+,3099,307,152
+,5147,700,924
+,4325,861,254
+,7664,437,302
+,1159,48,564
+,4124,939,46
+,6134,110,522
+,471,422,96
+,1830,676,737
+,5364,832,259
+,4971,260,599
+,139,787,515
+,6234,116,758
+,6603,473,183
+,3600,186,863
+,2959,46,85
+,5413,897,721
+,5646,321,601
+,338,465,775
+,2734,460,638
+,3541,271,349
+,5347,940,892
+,3411,191,216
+,4842,80,764
+,3903,265,892
+,2860,108,444
+,1764,18,5
+,770,119,13
+,5759,671,488
+,7040,708,414
+,5501,673,988
+,7063,616,743
+,3222,310,633
+,4561,997,631
+,2937,707,689
+,930,706,691
+,4368,823,309
+,7982,128,138
+,2878,195,114
+,6338,16,712
+,981,192,879
+,5565,214,492
+,7568,148,665
+,2661,446,862
+,4242,878,808
+,1504,195,88
+,2509,788,474
+,3628,485,432
+,6883,119,170
+,4317,156,756
+,4753,455,986
+,6772,482,20
+,6971,460,599
+,5886,206,301
+,4806,849,853
+,2213,52,341
+,1938,105,645
+,4434,730,442
+,6226,868,507
+,5982,592,610
+,1460,567,297
+,3362,499,409
+,2720,525,605
+,238,626,957
+,3945,926,836
+,6261,499,237
+,1284,62,540
+,7843,432,590
+,4172,566,65
+,746,914,663
+,7475,910,484
+,5047,506,637
+,3644,661,355
+,2514,714,446
+,2649,165,294
+,1049,196,480
+,7003,448,237
+,588,224,601
+,4748,701,347
+,1444,616,873
+,1611,732,672
+,4998,134,904
+,6582,740,728
+,6498,982,426
+,1193,963,689
+,2182,752,368
+,7684,483,818
+,6432,864,165
+,4206,212,289
+,4185,767,88
+,6715,494,132
+,2621,204,160
+,5822,503,103
+,6415,425,965
+,585,310,240
+,1680,570,48
+,59,367,902
+,7884,365,693
+,4229,178,847
+,995,915,515
+,214,826,65
+,1249,440,116
+,2050,232,123
+,5775,229,498
+,2529,348,803
+,3186,787,47
+,2215,898,570
+,1546,917,154
+,2192,706,894
+,4381,618,685
+,6479,723,51
+,4567,968,448
+,6576,468,985
+,437,773,113
+,4965,108,800
+,7541,624,800
+,1803,970,104
+,5411,575,42
+,330,107,171
+,3322,120,891
+,7325,932,370
+,95,745,299
+,2557,452,780
+,7711,510,750
+,592,101,157
+,7980,372,342
+,7246,141,125
+,181,206,449
+,2754,425,787
+,6688,6,251
+,5391,828,485
+,5164,293,517
+,7428,87,272
+,3494,732,772
+,6876,369,644
+,5949,251,155
+,3127,771,542
+,3096,806,233
+,7291,821,439
+,3497,940,419
+,1584,469,974
+,4572,528,813
+,882,370,966
+,1177,453,149
+,339,10,734
+,5021,529,966
+,6992,86,346
+,5679,411,790
+,591,444,62
+,1412,777,37
+,1339,944,656
+,4080,924,588
+,6444,646,730
+,1138,676,896
+,1865,996,302
+,5712,411,907
+,56,717,566
+,151,311,738
+,7592,321,931
+,2861,8,846
+,3087,921,540
+,7180,942,150
+,3767,413,456
+,6065,210,908
+,7792,639,807
+,5148,667,452
+,284,353,908
+,3940,800,664
+,4760,794,202
+,6,308,86
+,5135,550,342
+,6154,742,736
+,6717,900,129
+,4071,553,290
+,2646,95,523
+,2180,319,533
+,5184,775,650
+,1014,23,28
+,4650,815,552
+,2434,264,247
+,5645,792,311
+,2600,432,517
+,980,749,61
+,5858,381,265
+,3838,519,362
+,2578,48,774
+,6315,963,127
+,6677,305,586
+,4948,5,464
+,7252,241,824
+,3866,595,579
+,5661,915,960
+,2488,681,546
+,3697,609,239
+,5983,306,291
+,7272,803,834
+,6331,586,688
+,5669,731,386
+,6718,755,253
+,3798,335,528
+,4779,197,842
+,641,369,465
+,6260,150,728
+,456,848,421
+,7484,94,63
+,3505,909,133
+,7448,219,456
+,3934,378,693
+,5542,412,602
+,2667,531,797
+,983,892,270
+,787,510,651
+,2022,450,705
+,148,970,501
+,1245,996,426
+,2679,166,147
+,4801,130,496
+,7244,468,132
+,5355,721,525
+,892,541,120
+,5734,217,466
+,3673,33,764
+,5946,966,572
+,2449,943,974
+,786,616,872
+,1883,112,123
+,2918,585,296
+,2867,535,156
+,3916,380,312
+,4493,310,301
+,626,28,810
+,2014,145,802
+,2505,431,49
+,6190,915,312
+,1605,290,220
+,3446,838,757
+,536,2,125
+,87,357,69
+,1606,45,427
+,5694,586,317
+,3405,463,921
+,723,800,386
+,116,854,737
+,5051,620,135
+,6089,141,516
+,2292,471,779
+,2980,683,459
+,167,887,745
+,4859,91,819
+,3072,680,638
+,928,396,238
+,5560,404,347
+,7284,46,981
+,3293,911,453
+,1637,284,661
+,4062,886,169
+,2797,25,585
+,903,815,790
+,5604,316,574
+,2856,126,659
+,2991,87,197
+,5425,633,554
+,5449,775,54
+,4838,583,534
+,2574,768,487
+,1602,918,19
+,1600,674,958
?,369,369,369
?,1971,1971,1971
?,39,39,39
?,564,564,564
?,1612,1612,1612
?,422,422,422
?,503,503,503
?,1700,1700,1700
?,1446,1446,1446
?,1719,1719,1719
?,1818,1818,1818
?,1187,1187,1187
?,910,910,910
?,174,174,174
?,1653,1653,1653
?,1093,1093,1093
?,1243,1243,1243
?,657,657,657
?,823,823,823
?,1207,1207,1207
?,93,93,93
?,1007,1007,1007
?,1766,1766,1766
?,1913,1913,1913
?,48,48,48
?,697,697,697
?,896,896,896
?,370,370,370
?,850,850,850
?,50,50,50
?,1761,1761,1761
?,1082,1082,1082
?,650,650,650
?,783,783,783
?,527,527,527
?,187,187,187
?,235,235,235
?,204,204,204
?,1110,1110,1110
?,345,345,345
?,585,585,585
?,295,295,295
?,375,375,375
?,524,524,524
?,1574,1574,1574
?,184,184,184
?,316,316,316
?,629,629,629
?,1951,1951,1951
?,835,835,835
?,1390,1390,1390
?,347,347,347
?,121,121,121
?,1259,1259,1259
?,1969,1969,1969
?,667,667,667
?,372,372,372
?,56,56,56
?,1461,1461,1461
?,120,120,120
?,611,611,611
?,799,799,799
?,203,203,203
?,656,656,656
?,292,292,292
?,846,846,846
?,1829,1829,1829
?,664,664,664
?,529,529,529
?,770,770,770
?,1929,1929,1929
?,1696,1696,1696
?,1843,1843,1843
?,248,248,248
?,107,107,107
?,415,415,415
?,491,491,491
?,1541,1541,1541
?,1223,1223,1223
?,1201,1201,1201
?,485,485,485
?,1010,1010,1010
?,1042,1042,1042
?,1541,1541,1541
?,1034,1034,1034
?,789,789,789
?,1945,1945,1945
?,236,236,236
?,552,552,552
?,125,125,125
?,652,652,652
?,952,952,952
?,1133,1133,1133
?,834,834,834
?,135,135,135
?,992,992,992
?,60,60,60
?,835,835,835
?,1298,1298,1298
?,479,479,479
?,1872,1872,1872
?,1815,1815,1815
?,39,39,39
?,552,552,552
?,1135,1135,1135
?,1974,1974,1974
?,1201,1201,1201
?,1383,1383,1383
?,208,208,208
?,505,505,505
?,1563,1563,1563
?,1137,1137,1137
?,1335,1335,1335
?,1609,1609,1609
?,258,258,258
?,624,624,624
?,1164,1164,1164
?,834,834,834
?,914,914,914
?,172,172,172
?,1734,1734,1734
?,1303,1303,1303
?,1025,1025,1025
?,417,417,417
?,1604,1604,1604
?,292,292,292
?,765,765,765
?,1107,1107,1107
?,345,345,345
?,1602,1602,1602
?,503,503,503
?,1101,1101,1101
?,1951,1951,1951
?,868,868,868
?,1969,1969,1969
?,1867,1867,1867
?,1137,1137,1137
?,926,926,926
?,86,86,86
?,3,3,3
?,1665,1665,1665
?,952,952,952
?,1969,1969,1969
?,1699,1699,1699
?,1272,1272,1272
?,593,593,593
?,1338,1338,1338
?,343,343,343
?,2,2,2
?,124,124,124
?,1912,1912,1912
?,1888,1888,1888
?,988,988,988
?,560,560,560
?,1225,1225,1225
?,514,514,514
?,1720,1720,1720
?,1393,1393,1393
?,779,779,779
?,720,720,720
?,1726,1726,1726
?,1295,1295,1295
?,436,436,436
?,1199,1199,1199
?,1722,1722,1722
?,1046,1046,1046
?,577,577,577
?,94,94,94
?,331,331,331
?,1514,1514,1514
?,1094,1094,1094
?,1154,1154,1154
?,144,144,144
?,616,616,616
?,184,184,184
?,810,810,810
?,1431,1431,1431
?,252,252,252
?,1701,1701,1701
?,287,287,287
?,1485,1485,1485
?,1140,1140,1140
?,573,573,573
?,1799,1799,1799
?,885,885,885
?,432,432,432
?,1251,1251,1251
?,1034,1034,1034
?,1961,1961,1961
?,1643,1643,1643
?,652,652,652
?,1811,1811,1811
?,1397,1397,1397
?,1937,1937,1937
?,702,702,702
?,1301,1301,1301
?,536,536,536
?,1542,1542,1542
?,1450,1450,1450
?,928,928,928
?,560,560,560
?,504,504,504
?,1357,1357,1357
?,659,659,659
?,700,700,700
?,432,432,432
?,942,942,942
?,1965,1965,1965
?,1228,1228,1228
?,673,673,673
?,33,33,33
?,1872,1872,1872
?,1417,1417,1417
?,274,274,274
?,1324,1324,1324
?,1889,1889,1889
?,5,5,5
?,1247,1247,1247
?,976,976,976
?,9,9,9
?,1847,1847,1847
?,20,20,20
?,1378,1378,1378
?,356,356,356
?,847,847,847
?,1139,1139,1139
?,1834,1834,1834
?,1427,1427,1427
?,1441,1441,1441
?,1002,1002,1002
?,1562,1562,1562
?,805,805,805
?,1103,1103,1103
?,167,167,167
?,1613,1613,1613
?,1796,1796,1796
?,1330,1330,1330
?,1334,1334,1334
?,159,159,159
?,1104,1104,1104
?,64,64,64
?,1828,1828,1828
?,1705,1705,1705
?,1672,1672,1672
?,1376,1376,1376
?,912,912,912
?,1377,1377,1377
?,253,253,253
?,723,723,723
?,1665,1665,1665
?,771,771,771
?,1695,1695,1695
?,1232,1232,1232
?,734,734,734
?,793,793,793
?,363,363,363
?,1719,1719,1719
?,1573,1573,1573
?,1663,1663,1663
?,1428,1428,1428
?,18,18,18
?,256,256,256
?,948,948,948
?,759,759,759
?,1918,1918,1918
?,396,396,396
?,911,911,911
?,20,20,20
?,454,454,454
?,1522,1522,1522
?,41,41,41
?,1554,1554,1554
?,576,576,576
?,1394,1394,1394
?,1888,1888,1888
?,1453,1453,1453
?,733,733,733
?,393,393,393
?,185,185,185
?,1672,1672,1672
?,1257,1257,1257
?,1281,1281,1281
?,621,621,621
?,1656,1656,1656
?,1471,1471,1471
?,453,453,453
?,480,480,480
?,1012,1012,1012
?,744,744,744
?,76,76,76
?,575,575,575
?,1010,1010,1010
?,1853,1853,1853
?,1442,1442,1442
?,1448,1448,1448
?,1242,1242,1242
?,429,429,429
?,15,15,15
?,402,402,402
?,1682,1682,1682
?,1308,1308,1308
?,812,812,812
?,228,228,228
?,1782,1782,1782
?,569,569,569
?,1166,1166,1166
?,1025,1025,1025
?,1012,1012,1012
?,350,350,350
?,1131,1131,1131
?,397,397,397
?,1352,1352,1352
?,1514,1514,1514
?,1159,1159,1159
?,1377,1377,1377
?,1398,1398,1398
?,1235,1235,1235
?,1158,1158,1158
?,360,360,360
?,134,134,134
?,1205,1205,1205
?,263,263,263
?,1528,1528,1528
?,134,134,134
?,261,261,261
?,532,532,532
?,1912,1912,1912
?,1168,1168,1168
?,1753,1753,1753
?,467,467,467
?,1805,1805,1805
?,1072,1072,1072
?,1493,1493,1493
?,1603,1603,1603
?,562,562,562
?,393,393,393
?,1737,1737,1737
?,1389,1389,1389
?,48,48,48
?,1420,1420,1420
?,1389,1389,1389
?,1092,1092,1092
?,1259,1259,1259
?,518,518,518
?,1395,1395,1395
?,1148,1148,1148
?,1809,1809,1809
?,930,930,930
?,5,5,5
?,1921,1921,1921
?,875,875,875
?,1313,1313,1313
?,1379,1379,1379
?,1932,1932,1932
?,1332,1332,1332
?,107,107,107
?,1749,1749,1749
?,1923,1923,1923
?,662,662,662
?,886,886,886
?,1730,1730,1730
?,834,834,834
?,562,562,562
?,250,250,250
?,1393,1393,1393
?,1062,1062,1062
?,956,956,956
?,1015,1015,1015
?,741,741,741
?,1060,1060,1060
?,1555,1555,1555
?,90,90,90
?,1811,1811,1811
?,1478,1478,1478
?,460,460,460
?,97,97,97
?,570,570,570
?,1881,1881,1881
?,861,861,861
?,1091,1091,1091
?,920,920,920
?,648,648,648
?,11,11,11
?,803,803,803
?,399,399,399
?,686,686,686
?,168,168,168
?,1803,1803,1803
?,1172,1172,1172
?,1655,1655,1655
?,52,52,52
?,1511,1511,1511
?,463,463,463
?,1413,1413,1413
?,868,868,868
?,1962,1962,1962
?,153,153,153
?,1879,1879,1879
?,512,512,512
?,404,404,404
?,337,337,337
?,675,675,675
?,637,637,637
?,129,129,129
?,1283,1283,1283
?,1281,1281,1281
?,199,199,199
?,58,58,58
?,983,983,983
?,885,885,885
?,1655,1655,1655
?,50,50,50
?,1214,1214,1214
?,1633,1633,1633
?,1283,1283,1283
?,1916,1916,1916
?,685,685,685
?,1722,1722,1722
?,513,513,513
?,507,507,507
?,221,221,221
?,970,970,970
?,489,489,489
?,1964,1964,1964
?,698,698,698
?,1705,1705,1705
?,112,112,112
?,1683,1683,1683
?,684,684,684
?,1065,1065,1065
?,1627,1627,1627
?,485,485,485
?,1933,1933,1933
?,150,150,150
?,1589,1589,1589
?,1229,1229,1229
?,1269,1269,1269
?,899,899,899
?,1565,1565,1565
?,196,196,196
?,1281,1281,1281
?,915,915,915
?,1186,1186,1186
?,256,256,256
?,176,176,176
?,125,125,125
?,1878,1878,1878
?,69,69,69
?,773,773,773
?,642,642,642
?,1823,1823,1823
?,1737,1737,1737
?,1421,1421,1421
?,134,134,134
?,1603,1603,1603
?,262,262,262
?,127,127,127
?,1883,1883,1883
?,1644,1644,1644
?,906,906,906
?,113,113,113
?,618,618,618
?,1251,1251,1251
?,1283,1283,1283
?,885,885,885
?,135,135,135
?,209,209,209
?,1388,1388,1388
?,115,115,115
?,1146,1146,1146
?,107,107,107
?,604,604,604
?,1741,1741,1741
?,782,782,782
?,823,823,823
?,197,197,197
?,1265,1265,1265
?,1541,1541,1541
?,842,842,842
?,478,478,478
?,1771,1771,1771
?,1228,1228,1228
?,1613,1613,1613
?,1352,1352,1352
?,1278,1278,1278
?,22,22,22
?,929,929,929
?,787,787,787
?,951,951,951
?,1629,1629,1629
?,877,877,877
?,1803,1803,1803
?,1271,1271,1271
?,1269,1269,1269
?,208,208,208
?,696,696,696
?,1334,1334,1334
?,1921,1921,1921
?,1384,1384,1384
?,1604,1604,1604
?,54,54,54
?,930,930,930
?,1060,1060,1060
?,673,673,673
?,1204,1204,1204
?,395,395,395
?,222,222,222
?,211,211,211
?,26,26,26
?,1219,1219,1219
?,1461,1461,1461
?,139,139,139
?,1215,1215,1215
?,1617,1617,1617
?,1722,1722,1722
?,397,397,397
?,1853,1853,1853
?,1174,1174,1174
?,259,259,259
?,1306,1306,1306
?,1043,1043,1043
?,525,525,525
?,728,728,728
?,863,863,863
?,986,986,986
?,1485,1485,1485
?,1272,1272,1272
?,911,911,911
?,381,381,381
?,498,498,498
?,282,282,282
?,1633,1633,1633
?,91,91,91
?,124,124,124
?,262,262,262
?,639,639,639
?,1198,1198,1198
?,893,893,893
?,1051,1051,1051
?,1966,1966,1966
?,1335,1335,1335
?,1545,1545,1545
?,733,733,733
?,638,638,638
?,1196,1196,1196
?,1813,1813,1813
?,1109,1109,1109
?,1589,1589,1589
