OP,A1,A2,A3
+,1654,860,673
+,1880,571,185
+,2091,99,482
+,629,758,264
+,1935,827,572
+,1962,934,187
+,3807,696,921
+,1715,670,91
+,2583,363,228
+,2184,892,314
+,639,807,908
+,3461,380,266
+,3502,301,474
+,732,120,481
+,2170,887,649
+,3990,594,966
+,2191,72,483
+,1685,199,512
+,2906,888,697
+,3372,542,305
+,1705,55,891
+,583,154,140
+,835,350,419
+,1219,914,928
+,2546,146,323
+,42,732,184
+,1995,82,499
+,692,646,181
+,2227,649,59
+,1647,462,280
+,81,779,792
+,1464,590,782
+,1965,501,804
+,2151,798,90
+,1358,629,444
+,1169,439,413
+,0,988,488
+,827,4,38
+,480,204,748
+,2383,972,14
+,3384,329,775
+,3611,543,195
+,3979,692,4
+,552,751,254
+,2916,710,898
+,2062,319,132
+,3168,392,515
+,3735,313,171
+,908,843,46
+,3456,971,297
+,1037,745,532
+,1800,536,345
+,863,909,703
+,3963,350,923
+,3483,367,768
+,2896,168,970
+,1426,940,831
+,3628,19,233
+,2832,744,134
+,2591,751,22
+,1508,516,173
+,478,375,728
+,2292,811,38
+,3230,897,655
+,2047,789,547
+,2376,49,608
+,357,677,110
+,727,856,20
+,325,706,118
+,3028,454,389
+,1604,560,258
+,2630,718,156
+,2060,711,702
+,3310,9,308
+,3536,677,103
+,2502,532,276
+,2122,620,717
+,2978,428,850
+,1739,107,523
+,355,632,120
+,3490,116,803
+,726,509,203
+,3837,204,796
+,2327,851,535
+,893,206,366
+,800,419,302
+,3554,40,561
+,929,932,212
+,3827,955,492
+,3248,240,2
+,2042,687,91
+,3930,113,855
+,3203,685,505
+,2287,972,92
+,72,523,76
+,1771,740,103
+,569,262,659
+,346,467,1000
+,3280,270,475
+,3312,102,832
+,2145,895,40
+,826,297,368
+,3640,693,320
+,2985,756,118
+,67,871,776
+,1291,46,9
+,575,141,679
+,3113,174,336
+,1405,915,448
+,2796,636,274
+,821,750,95
+,699,834,350
+,689,116,410
+,990,985,467
+,48,855,394
+,781,871,489
+,2128,431,664
+,1514,816,170
+,2549,135,712
+,1224,60,965
+,148,163,106
+,2068,933,604
+,3989,821,582
+,165,448,185
+,3332,388,797
+,520,626,29
+,2127,700,901
+,2352,744,996
+,2586,133,494
+,723,499,115
+,2846,421,451
+,1373,64,267
+,1910,321,12
+,3825,889,694
+,2935,785,761
+,2956,741,578
+,561,978,685
+,2286,346,531
+,1157,704,717
+,1929,97,443
+,3396,744,254
+,3390,354,679
+,3510,656,394
+,2264,859,846
+,1070,913,627
+,1753,11,658
+,352,160,517
+,2511,480,872
+,377,890,169
+,457,769,503
+,3651,246,338
+,3720,284,51
+,917,228,563
+,1458,387,412
+,1007,240,80
+,2332,454,820
+,2427,458,90
+,3929,510,457
+,1951,121,509
+,3574,669,18
+,597,413,422
+,1712,570,562
+,1302,845,93
+,2822,618,986
+,844,652,311
+,3193,520,575
+,1229,670,687
+,824,973,349
+,3749,845,55
+,1407,228,864
+,1101,339,573
+,52,634,614
+,2485,733,672
+,2344,733,463
+,1617,99,777
+,683,227,2
+,2340,363,849
+,2969,987,819
+,21,560,534
+,2883,718,108
+,3662,918,168
+,2471,143,841
+,667,760,738
+,3622,109,260
+,3570,200,192
+,3945,952,872
+,1502,220,468
+,3212,800,195
+,1047,346,110
+,1652,424,47
+,261,648,857
+,2683,602,126
+,2164,913,461
+,3012,674,603
+,2950,516,137
+,380,510,4
+,289,753,49
+,3585,957,443
+,399,599,494
+,554,520,799
+,1113,932,181
+,2303,592,177
+,2460,834,131
+,3161,396,673
+,2115,620,903
+,3364,516,902
+,1439,428,623
+,3551,709,780
+,1199,280,407
+,1534,351,993
+,1334,463,824
+,2330,141,422
+,3828,716,907
+,1257,524,306
+,3256,718,560
+,2975,321,728
+,985,957,566
+,2339,222,205
+,199,639,731
+,718,703,353
+,2547,688,135
+,2648,665,998
+,367,182,515
+,3138,710,652
+,829,727,118
+,3877,360,575
+,2967,596,584
+,993,683,727
+,3864,690,765
+,923,861,546
+,1749,898,867
+,3337,827,13
+,498,109,25
+,2996,148,54
+,1341,57,204
+,392,768,804
+,1187,293,699
+,1166,149,859
+,1662,707,803
+,2124,208,771
+,144,33,367
+,1206,463,104
+,3918,888,691
+,119,575,885
+,2907,760,662
+,2829,398,243
+,120,803,815
+,1428,712,294
+,2114,680,48
+,3687,390,396
+,304,979,807
+,3022,701,320
+,2341,565,55
+,3091,761,257
+,1473,635,889
+,1156,881,891
+,2763,849,230
+,767,648,721
+,320,663,376
+,2190,602,559
+,1137,617,201
+,268,742,987
+,697,301,459
+,733,699,76
+,3350,985,177
+,702,526,122
+,3876,41,438
+,839,569,270
+,3468,164,598
+,1689,261,5
+,3690,477,726
+,3101,158,40
+,1852,950,330
+,3643,52,792
+,3660,640,630
+,801,677,308
+,1767,808,586
+,3044,366,74
+,2043,724,325
+,3701,225,979
+,3453,533,69
+,3788,517,163
+,1889,556,549
+,3678,94,357
+,3798,904,218
+,843,339,339
+,3361,300,223
+,3699,770,633
+,573,486,574
+,338,770,664
+,2961,117,684
+,2789,456,246
+,2095,657,628
+,3352,636,249
+,1261,40,698
+,2171,328,390
+,1009,815,967
+,1122,395,262
+,3383,741,289
+,1828,933,529
+,3050,788,383
+,3470,822,520
+,3641,498,44
+,3088,919,667
+,463,328,526
+,3083,970,98
+,3907,994,979
+,2355,550,546
+,3376,641,67
+,659,686,644
+,3799,218,885
+,3898,434,855
+,3367,210,550
+,351,719,899
+,319,759,793
+,1735,662,836
+,145,73,764
+,3289,157,24
+,2754,734,339
+,425,89,75
+,3099,182,813
+,2374,571,72
+,975,841,233
+,2314,264,417
+,2877,461,645
+,3725,443,323
+,849,398,689
+,602,547,6
+,3057,737,633
+,400,774,763
+,2531,46,717
+,2914,74,366
+,226,514,108
+,704,805,702
+,1709,621,88
+,1400,783,948
+,531,390,404
+,1357,676,31
+,1994,160,546
+,3665,139,764
+,3904,815,816
+,1346,558,302
+,3975,649,147
+,1932,693,908
+,1146,988,814
+,2380,746,663
+,3932,980,972
+,45,566,895
+,2058,144,126
+,170,5,586
+,363,403,550
+,2655,969,87
+,3134,215,766
+,2075,925,743
+,3563,216,422
+,2155,661,871
+,3787,145,164
+,793,226,631
+,37,258,198
+,3818,185,687
+,2776,580,872
+,1897,871,769
+,2147,562,472
+,410,562,74
+,1981,687,68
+,1631,100,202
+,3398,594,498
+,3003,338,365
+,811,687,671
+,2089,102,291
+,1120,71,921
+,3702,325,497
+,3613,336,631
+,2768,313,710
+,247,156,579
+,3107,373,827
+,1381,981,438
+,756,4,320
+,2501,804,226
+,1423,757,656
+,2977,283,860
+,1598,137,695
+,1290,339,898
+,2144,473,456
+,3377,793,312
+,27,564,111
+,2534,661,621
+,3874,861,287
+,1304,846,143
+,3450,551,201
+,204,751,907
+,3222,78,744
+,116,913,19
+,2821,519,646
+,1665,832,595
+,885,414,787
+,1651,217,928
+,2134,564,266
+,3491,915,552
+,1546,669,793
+,828,374,401
+,2732,912,790
+,2040,750,877
+,2677,137,475
+,1861,522,92
+,3356,372,514
+,321,678,244
+,1776,987,825
+,1348,700,169
+,3224,526,143
+,2165,163,183
+,2647,971,579
+,1210,893,990
+,139,753,749
+,2532,961,367
+,3902,224,779
+,1588,237,64
+,342,378,239
+,2431,684,211
+,1675,929,810
+,1806,397,480
+,3590,465,902
+,340,40,664
+,3493,105,720
+,1459,533,648
+,3065,280,854
+,3270,269,592
+,798,583,178
+,3374,669,387
+,2565,601,669
+,1660,855,79
+,2691,257,385
+,1584,929,228
+,3548,415,361
+,2071,888,353
+,3380,811,493
+,257,618,6
+,1958,903,142
+,2325,169,235
+,3143,526,658
+,3074,216,153
+,2369,161,370
+,2913,734,836
+,445,676,235
+,3933,830,338
+,2239,116,493
+,1075,490,490
+,1401,604,165
+,1657,853,420
+,3081,249,44
+,275,587,606
+,142,137,644
+,760,40,912
+,3402,150,57
+,1411,264,944
+,2530,529,981
+,1770,613,992
+,1544,652,19
+,1730,736,745
+,2564,841,290
+,2149,87,221
+,3949,621,482
+,2553,493,174
+,2162,850,420
+,2400,146,813
+,2750,840,785
+,2673,638,675
+,2987,270,171
+,2120,702,350
+,2193,464,610
+,3432,70,235
+,567,394,135
+,950,16,207
+,91,880,931
+,3961,700,429
+,1079,153,620
+,1430,181,487
+,2018,629,614
+,568,898,802
+,3988,515,770
+,1750,95,493
+,2491,133,923
+,2241,552,847
+,1909,918,960
+,135,694,664
+,2052,534,430
+,3813,895,44
+,1057,542,439
+,3900,960,821
+,455,808,787
+,1650,358,603
+,5,759,929
+,2343,857,713
+,1607,100,435
+,1856,260,488
+,324,238,931
+,861,85,290
+,1036,897,556
+,3785,263,193
+,1825,726,761
+,1658,7,591
+,728,120,532
+,818,384,670
+,2061,704,823
+,1477,418,370
+,3859,158,436
+,3664,599,259
+,730,875,548
+,252,578,374
+,1445,282,696
+,1711,773,208
+,790,565,802
+,3763,494,183
+,1066,572,568
+,1841,259,314
+,2689,352,792
+,2130,407,753
+,190,875,884
+,3820,121,765
+,384,457,801
+,2074,972,165
+,364,219,520
+,2179,804,346
+,502,563,628
+,1098,700,723
+,802,164,398
+,2192,651,5
+,1693,93,843
+,30,482,948
+,2252,445,90
+,3347,269,227
+,1913,81,623
+,3463,741,393
+,1362,410,628
+,3921,533,293
+,619,986,611
+,2892,968,792
+,77,179,655
+,3752,449,10
+,2011,870,672
+,3273,823,530
+,1497,199,34
+,2665,613,522
+,763,715,237
+,512,173,690
+,2013,368,244
+,3718,0,999
+,1743,88,282
+,809,409,361
+,1017,404,415
+,757,205,530
+,1176,754,720
+,1725,941,92
+,901,291,743
+,553,572,936
+,1930,356,355
+,1528,835,283
+,854,620,986
+,3593,465,952
+,3795,588,4
+,883,179,416
+,3849,109,572
+,1548,515,301
+,2035,969,119
+,3369,525,979
+,3512,897,550
+,729,812,588
+,3524,710,453
+,1102,386,576
+,2639,788,249
+,1854,347,984
+,1940,469,697
+,1708,918,600
+,1740,28,493
+,3856,264,69
+,3978,648,807
+,1479,693,718
+,3951,819,323
+,577,978,361
+,2480,548,9
+,1281,852,269
+,3286,294,95
+,3271,689,766
+,3629,350,77
+,3477,953,182
+,3556,321,362
+,580,915,587
+,1474,187,969
+,888,699,952
+,216,194,510
+,235,204,240
+,43,247,893
+,540,211,234
+,2599,854,255
+,3227,633,364
+,3000,797,109
+,339,942,80
+,803,978,679
+,2857,628,6
+,1830,877,554
+,2923,43,868
+,1782,380,635
+,3615,504,919
+,1970,918,588
+,3966,281,502
+,987,782,937
+,1107,286,407
+,2046,768,590
+,487,55,538
+,565,433,489
+,1149,553,33
+,1867,355,403
+,976,702,794
+,95,468,999
+,2474,715,530
+,1030,323,705
+,1420,12,690
+,878,388,594
+,3885,333,370
+,1943,882,265
+,3858,561,269
+,3976,275,482
+,3889,627,351
+,2860,188,510
+,3776,215,429
+,2422,770,381
+,2650,874,410
+,578,461,184
+,1231,134,589
+,415,234,833
+,1646,738,276
+,1236,241,568
+,2379,876,390
+,1567,149,819
+,2876,756,153
+,362,825,9
+,834,431,511
+,2589,914,869
+,2429,529,546
+,2109,323,804
+,196,307,256
+,2873,879,581
+,3234,407,101
+,1006,167,61
+,98,833,260
+,940,859,644
+,2056,460,762
+,1547,266,369
+,1247,573,570
+,1820,829,263
+,1555,20,421
+,3663,359,888
+,1797,986,620
+,832,590,589
+,514,664,551
+,1186,799,291
+,3540,332,689
+,548,499,793
+,1347,457,910
+,3321,390,628
+,3835,474,646
+,17,148,889
+,12,655,827
+,3842,345,431
+,3717,627,585
+,544,869,928
+,2228,81,165
+,3532,233,321
+,499,668,298
+,3184,273,619
+,3806,404,277
+,934,455,799
+,2606,961,371
+,1565,601,533
+,1496,461,423
+,2188,188,874
+,2479,128,745
+,61,677,257
+,3539,761,717
+,1454,81,215
+,2666,406,105
+,1363,65,959
+,9,484,561
+,2104,26,789
+,724,536,783
+,69,106,268
+,236,159,86
+,645,953,906
+,3580,316,234
+,140,755,290
+,3386,641,129
+,1197,539,858
+,2991,29,35
+,49,365,881
+,684,333,884
+,1573,478,998
+,3879,553,957
+,3175,561,455
+,1447,992,971
+,2000,552,181
+,1601,611,467
+,1772,766,651
+,2428,577,445
+,1064,655,654
+,3328,317,930
+,2365,493,552
+,910,824,91
+,3870,315,374
+,2623,266,159
+,2346,10,0
+,3986,834,776
+,3214,139,352
+,143,480,547
+,2248,704,944
+,1325,969,773
+,3773,306,9
+,3243,440,817
+,172,611,236
+,1153,7,561
+,1004,193,421
+,2615,574,447
+,527,255,167
+,1644,754,661
+,2631,848,387
+,503,269,81
+,1383,640,245
+,3284,782,819
+,2183,627,826
+,3631,701,278
+,2217,664,760
+,2970,828,275
+,3137,192,873
+,1518,186,139
+,1949,113,652
+,3267,632,463
+,453,717,637
+,1639,192,328
+,3179,155,50
+,2840,547,22
+,1082,995,104
+,2421,275,128
+,3822,448,744
+,2488,238,92
+,201,15,505
+,1056,350,430
+,1569,804,818
+,1822,380,474
+,1629,810,32
+,3331,82,863
+,2686,974,149
+,735,272,794
+,3591,73,556
+,3647,185,196
+,2133,861,256
+,2775,390,848
+,1972,124,997
+,3066,731,254
+,3948,789,998
+,2663,253,755
+,1707,203,471
+,1487,789,96
+,2367,681,213
+,2229,398,697
+,2685,319,958
+,1752,162,644
+,2626,43,762
+,427,562,533
+,1371,259,492
+,3737,305,203
+,385,908,53
+,1216,682,223
+,3173,115,241
+,2680,444,332
+,549,171,813
+,3636,598,122
+,2210,808,248
+,3272,992,43
+,1795,802,707
+,1695,704,610
+,3149,380,789
+,2152,254,161
+,416,93,702
+,3142,346,953
+,2737,777,640
+,2936,61,364
+,1307,157,718
+,2651,810,109
+,1915,499,238
+,2132,571,807
+,1204,774,355
+,2277,913,449
+,1507,197,21
+,3110,386,366
+,2475,137,256
+,2644,40,496
+,1898,448,572
+,376,555,713
+,770,194,580
+,2838,556,356
+,3295,749,479
+,3550,888,851
+,852,936,881
+,3758,164,70
+,1074,158,460
+,2707,839,269
+,3145,375,464
+,3394,794,653
+,3711,388,751
+,874,904,19
+,3765,877,372
+,124,635,244
+,2110,738,64
+,2136,990,551
+,1351,396,194
+,1427,699,509
+,1067,564,157
+,293,289,330
+,2131,656,329
+,3464,98,535
+,2065,68,44
+,1590,960,132
+,2353,894,32
+,2808,109,497
+,1031,101,32
+,3431,657,856
+,115,673,501
+,3371,638,718
+,3882,262,50
+,479,226,620
+,3155,72,13
+,3723,943,213
+,1933,503,950
+,1619,852,81
+,3160,820,654
+,2694,369,571
+,68,960,911
+,206,841,377
+,1808,725,59
+,422,631,272
+,2714,41,751
+,3509,854,311
+,3899,967,221
+,65,531,99
+,231,742,236
+,3671,394,194
+,564,538,672
+,3419,583,640
+,1670,183,571
+,943,571,425
+,3557,108,784
+,2328,590,366
+,776,469,719
+,1089,437,904
+,2706,170,811
+,2817,563,411
+,3821,345,673
+,3732,546,614
+,46,955,360
+,7,322,563
+,3796,865,380
+,2841,782,648
+,2517,845,743
+,1484,623,246
+,3343,558,219
+,365,784,563
+,3038,762,260
+,3316,984,463
+,272,982,406
+,1104,743,35
+,2795,610,16
+,769,138,911
+,773,6,307
+,3006,219,876
+,783,22,790
+,766,965,706
+,3674,282,941
+,2279,523,569
+,368,948,585
+,3705,96,38
+,2563,364,159
+,1442,271,375
+,966,596,255
+,141,262,830
+,123,94,584
+,1108,582,939
+,3982,751,79
+,1691,332,811
+,3728,177,499
+,1500,920,706
+,1947,590,839
+,1456,97,609
+,2958,307,38
+,3353,827,590
+,3323,80,798
+,2839,943,789
+,44,356,900
+,3815,444,426
+,946,888,123
+,1144,788,232
+,2320,668,869
+,3865,950,11
+,3445,796,647
+,850,55,312
+,1051,42,326
+,270,578,153
+,1615,514,714
+,1680,156,51
+,912,749,402
+,2596,456,770
+,2273,589,516
+,2807,227,442
+,2027,805,403
+,3977,135,344
+,238,487,585
+,904,50,561
+,3126,268,87
+,1941,513,444
+,336,714,133
+,2015,138,492
+,2101,202,499
+,2809,667,585
+,2106,574,630
+,2882,536,252
+,1121,73,272
+,126,440,331
+,3880,946,589
+,1155,115,687
+,159,433,374
+,3729,195,328
+,3486,608,671
+,1273,788,312
+,3757,358,631
+,167,822,452
+,1220,149,451
+,2515,946,837
+,3650,204,701
+,1100,159,775
+,964,873,87
+,2568,757,55
+,1609,971,635
+,765,151,889
+,2189,839,294
+,3850,351,710
+,1677,113,312
+,1418,482,23
+,2770,214,757
+,448,216,208
+,452,535,768
+,1868,561,494
+,1987,747,144
+,3681,715,684
+,3496,385,596
+,2760,679,539
+,1289,261,174
+,2888,290,205
+,628,713,632
+,3911,54,476
+,242,967,8
+,2030,397,676
+,1807,678,872
+,736,675,368
+,3943,110,19
+,23,888,904
+,1173,395,236
+,3292,520,1000
+,2223,101,925
+,675,496,887
+,2682,544,90
+,3993,203,512
+,482,468,574
+,3322,729,22
+,534,253,944
+,3791,312,341
+,3816,402,762
+,662,18,355
+,3124,360,363
+,287,309,241
+,3480,282,831
+,195,640,263
+,1532,396,911
+,2587,30,966
+,3965,971,286
+,2150,155,349
+,3296,402,672
+,830,89,747
+,3901,533,983
+,359,627,893
+,2573,702,232
+,3287,246,586
+,2605,436,993
+,690,931,619
+,28,459,555
+,2749,211,668
+,526,594,554
+,939,819,207
+,2118,141,316
+,677,722,920
+,3067,931,138
+,394,930,999
+,558,148,671
+,2213,578,939
+,3534,325,69
+,1539,545,971
+,3984,121,188
+,1449,859,900
+,2963,744,30
+,930,326,901
+,2831,423,984
+,2039,310,453
+,3035,956,841
+,2163,652,955
+,2138,280,155
+,1398,192,109
+,18,189,26
+,2324,626,631
+,2436,620,580
+,1778,236,610
+,2156,236,703
+,813,367,81
+,1896,798,488
+,2231,514,866
+,855,480,729
+,3440,382,188
+,2387,396,503
+,2321,140,167
+,2490,231,33
+,1790,782,992
+,183,947,276
+,121,422,227
+,1322,687,207
+,3414,209,67
+,1992,949,977
+,588,887,631
+,1907,704,332
+,1332,468,908
+,3094,437,414
+,3021,42,622
+,1337,844,389
+,2777,320,403
+,1611,961,760
+,1127,608,549
+,2814,656,896
+,2219,805,39
+,3339,111,462
+,2031,846,898
+,3144,898,251
+,846,550,405
+,3950,40,571
+,2322,528,783
+,476,985,50
+,2288,298,450
+,462,905,311
+,3373,847,292
+,1551,170,432
+,2559,627,941
+,490,706,529
+,2620,145,474
+,1578,661,462
+,2924,739,512
+,1789,184,797
+,556,960,915
+,1151,559,138
+,3191,423,331
+,2797,25,183
+,3909,604,918
+,3499,917,206
+,981,465,92
+,3782,331,708
+,2728,928,728
+,905,167,735
+,709,126,93
+,3673,723,460
+,2638,371,87
+,3645,724,393
+,3092,810,998
+,3482,626,972
+,1945,387,563
+,3026,44,786
+,3056,934,343
+,1899,892,675
+,1174,153,166
+,2003,148,183
+,589,729,52
+,2554,315,316
+,1147,787,984
+,2854,295,641
+,2863,120,920
+,1698,983,207
+,1001,637,783
+,3052,12,469
+,1525,875,510
+,2519,826,5
+,460,903,505
+,2895,222,602
+,2513,487,464
+,3846,452,81
+,504,614,6
+,393,903,560
+,1608,634,643
+,1249,839,845
+,1538,50,189
+,1317,56,668
+,2026,37,148
+,3708,33,683
+,2200,858,617
+,2506,339,942
+,701,50,111
+,1091,182,165
+,941,291,625
+,3017,708,716
+,1435,586,806
+,2169,181,989
+,1706,767,592
+,3831,953,36
+,3379,786,306
+,3428,377,919
+,1148,839,69
+,3680,437,863
+,2198,66,299
+,3047,137,124
+,2402,880,281
+,2051,539,423
+,1252,214,712
+,1027,626,59
+,2447,585,747
+,1606,541,89
+,1414,741,705
+,845,956,807
+,310,294,437
+,857,868,324
+,642,538,588
+,2272,362,949
+,2019,629,576
+,390,532,746
+,225,509,504
+,2635,184,904
+,3042,238,725
+,2423,198,1
+,496,24,476
+,2999,815,120
+,2590,868,212
+,2557,630,424
+,1269,46,341
+,1462,573,825
+,2512,217,11
+,3263,206,706
+,983,260,809
+,3442,315,307
+,2430,563,331
+,3878,6,116
+,2824,341,349
+,1184,741,582
+,1886,983,29
+,543,179,198
+,2577,853,346
+,3851,688,490
+,54,485,816
+,2764,661,139
+,1409,159,642
+,3340,913,885
+,2718,917,343
+,2461,802,833
+,2454,950,760
+,2103,855,533
+,2097,578,742
+,754,323,568
+,34,19,213
+,2092,701,339
+,613,938,909
+,1152,362,67
+,3667,152,287
+,3994,31,347
+,1090,641,547
+,3357,169,584
+,1038,398,191
+,2218,119,885
+,3594,769,315
+,612,878,322
+,3446,32,278
+,804,88,508
+,3165,243,380
+,2045,849,973
+,2955,221,537
+,1850,179,114
+,3341,803,38
+,3242,206,935
+,1241,454,518
+,305,818,494
+,3141,512,157
+,1866,348,945
+,970,750,894
+,682,317,794
+,1461,146,787
+,2637,100,841
+,3111,528,692
+,2362,210,741
+,82,470,396
+,2073,885,534
+,2540,4,318
+,1042,45,703
+,2302,608,892
+,407,341,478
+,2250,47,105
+,748,784,674
+,3421,319,23
+,1873,776,319
+,1966,913,214
+,806,205,197
+,1582,283,545
+,3187,791,451
+,243,120,279
+,1251,161,280
+,3797,15,981
+,3974,573,526
+,3891,211,555
+,1744,562,326
+,922,144,965
+,3030,823,290
+,1874,250,175
+,3867,318,627
+,591,346,553
+,3852,51,133
+,742,482,924
+,2489,51,108
+,3150,55,88
+,3410,401,183
+,104,610,912
+,820,644,856
+,92,716,456
+,1536,364,319
+,825,837,202
+,749,776,686
+,2457,546,80
+,2539,944,773
+,2359,476,581
+,3240,95,832
+,220,941,715
+,16,99,466
+,3020,700,659
+,3278,784,476
+,3567,237,970
+,3008,147,881
+,1339,631,264
+,3915,372,401
+,1013,716,939
+,2525,338,807
+,3786,903,332
+,99,499,30
+,1834,486,115
+,1194,490,472
+,440,174,289
+,3219,356,618
+,1996,130,520
+,1035,415,837
+,805,815,109
+,184,569,665
+,3808,811,309
+,3237,472,410
+,2100,423,244
+,1021,249,561
+,3659,997,493
+,1593,67,348
+,3239,833,710
+,3913,441,803
+,2096,580,806
+,388,557,710
+,1602,177,678
+,1476,79,757
+,1183,728,587
+,3077,498,117
+,1818,610,474
+,508,568,99
+,856,455,180
+,3802,978,415
+,2112,612,111
+,3682,833,610
+,103,839,388
+,198,506,660
+,288,62,92
+,507,836,142
+,2725,594,924
+,547,651,829
+,250,775,150
+,955,152,463
+,3209,298,399
+,3228,591,457
+,217,210,697
+,1774,324,306
+,1054,813,935
+,3226,311,940
+,2255,959,445
